Sample	SampleID	PCR_Control	Extract_Control	Source	Site	Region	SiteType	Host_SiteType	Host_Region	SiteType_Site		SitePair
S413_16S	S413_16S	FALSE	FALSE	Microlaena_stipoides	BlueGum_Point_Yarralumla	Canberra	Restored	Microlaena_stipoides_Restored	Microlaena_stipoides_Canberra	Restored_BlueGum_Point_Yarralumla		SitePair6
S414_16S	S414_16S	FALSE	FALSE	Microlaena_stipoides	BlueGum_Point_Yarralumla	Canberra	Restored	Microlaena_stipoides_Restored	Microlaena_stipoides_Canberra	Restored_BlueGum_Point_Yarralumla		SitePair6
S415_16S	S415_16S	FALSE	FALSE	Microlaena_stipoides	BlueGum_Point_Yarralumla	Canberra	Restored	Microlaena_stipoides_Restored	Microlaena_stipoides_Canberra	Restored_BlueGum_Point_Yarralumla		SitePair6
S416_16S	S416_16S	FALSE	FALSE	Microlaena_stipoides	BlueGum_Point_Yarralumla	Canberra	Restored	Microlaena_stipoides_Restored	Microlaena_stipoides_Canberra	Restored_BlueGum_Point_Yarralumla		SitePair6
S417_16S	S417_16S	FALSE	FALSE	Microlaena_stipoides	BlueGum_Point_Yarralumla	Canberra	Restored	Microlaena_stipoides_Restored	Microlaena_stipoides_Canberra	Restored_BlueGum_Point_Yarralumla		SitePair6
S418_16S	S418_16S	FALSE	FALSE	Microlaena_stipoides	BlueGum_Point_Yarralumla	Canberra	Restored	Microlaena_stipoides_Restored	Microlaena_stipoides_Canberra	Restored_BlueGum_Point_Yarralumla		SitePair6
S419_16S	S419_16S	FALSE	FALSE	Microlaena_stipoides	BlueGum_Point_Yarralumla	Canberra	Restored	Microlaena_stipoides_Restored	Microlaena_stipoides_Canberra	Restored_BlueGum_Point_Yarralumla		SitePair6
S420_16S	S420_16S	FALSE	FALSE	Microlaena_stipoides	BlueGum_Point_Yarralumla	Canberra	Restored	Microlaena_stipoides_Restored	Microlaena_stipoides_Canberra	Restored_BlueGum_Point_Yarralumla		SitePair6
S133_NSW1092671_FWD13	S133_NSW1092671_FWD13	FALSE	FALSE	Microlaena_stipoides	Bournda_NP_North_Tura	South_Coast	Natural	Microlaena_stipoides_Natural	Microlaena_stipoides_South_Coast	Natural_Bournda_NP_North_Tura		SitePair11
S134_NSW1092666_FWD13	S134_NSW1092666_FWD13	FALSE	FALSE	Microlaena_stipoides	Bournda_NP_North_Tura	South_Coast	Natural	Microlaena_stipoides_Natural	Microlaena_stipoides_South_Coast	Natural_Bournda_NP_North_Tura		SitePair11
