72055c62db5feb14fdc754a36ccabe36	Bacteria	 Firmicutes	 Bacilli	 Erysipelotrichales	Erysipelotrichaceae	[Anaerorhabdus]_furcosa_group
09ba0dcc9d08747a09b3a4ec08c8d529	Bacteria	 Firmicutes	 Clostridia	 Peptostreptococcales-Tissierellales	Anaerovoracaceae	[Eubacterium]_brachy_group
53c87db73e99994b6c9ed952be5410d9	Bacteria	 Firmicutes	 Clostridia	 Peptostreptococcales-Tissierellales	Anaerovoracaceae	[Eubacterium]_brachy_group
b332b9a4d638a1f226e57c94a40f1450	Bacteria	 Firmicutes	 Clostridia	 Peptostreptococcales-Tissierellales	Anaerovoracaceae	[Eubacterium]_nodatum_group
0693b1010d47c299bc115bffee4ff4b5	Bacteria	 Bdellovibrionota	 Oligoflexia	 0319-6G20	0319-6G20	0319-6G20
0c7e09a367d98e53554cfd8560f3d019	Bacteria	 Bdellovibrionota	 Oligoflexia	 0319-6G20	0319-6G20	0319-6G20
0ec0382af313922bcca4c997bae627bf	Bacteria	 Bdellovibrionota	 Oligoflexia	 0319-6G20	0319-6G20	0319-6G20
12532355800a60f84c8d3c4cc4185630	Bacteria	 Bdellovibrionota	 Oligoflexia	 0319-6G20	0319-6G20	0319-6G20
270af9d9feaa0d3778d7bd2599f5f975	Bacteria	 Bdellovibrionota	 Oligoflexia	 0319-6G20	0319-6G20	0319-6G20
27d479307e3c5130e1ff3d7900d88c08	Bacteria	 Bdellovibrionota	 Oligoflexia	 0319-6G20	0319-6G20	0319-6G20
35d3b1a1002eeda65e677c2f05e6cda8	Bacteria	 Bdellovibrionota	 Oligoflexia	 0319-6G20	0319-6G20	0319-6G20
7065ecd6778a23a75e9de1d7ed26b8e2	Bacteria	 Bdellovibrionota	 Oligoflexia	 0319-6G20	0319-6G20	0319-6G20
71952c268a2a7382f62926d54f43f9d2	Bacteria	 Bdellovibrionota	 Oligoflexia	 0319-6G20	0319-6G20	0319-6G20
75bd32ad502e227cc1838996e99477ec	Bacteria	 Bdellovibrionota	 Oligoflexia	 0319-6G20	0319-6G20	0319-6G20
9455e2579942a7c6820e1278073801fe	Bacteria	 Bdellovibrionota	 Oligoflexia	 0319-6G20	0319-6G20	0319-6G20
97b87408f8fc7577c77d4a3f28b97271	Bacteria	 Bdellovibrionota	 Oligoflexia	 0319-6G20	0319-6G20	0319-6G20
9d5996dc764e655785716b65e454be94	Bacteria	 Bdellovibrionota	 Oligoflexia	 0319-6G20	0319-6G20	0319-6G20
b224b767c5970a9877a794e062ef2193	Bacteria	 Bdellovibrionota	 Oligoflexia	 0319-6G20	0319-6G20	0319-6G20
cb77c6b1d72e997afbbed5d6462d8f7b	Bacteria	 Bdellovibrionota	 Oligoflexia	 0319-6G20	0319-6G20	0319-6G20
cf61904acbbbfab96ad64d4fbe329b6e	Bacteria	 Bdellovibrionota	 Oligoflexia	 0319-6G20	0319-6G20	0319-6G20
df9f36ff0ba22df1a979b35afdc9e137	Bacteria	 Bdellovibrionota	 Oligoflexia	 0319-6G20	0319-6G20	0319-6G20
e0572d2858cc06ec989731024e04c439	Bacteria	 Bdellovibrionota	 Oligoflexia	 0319-6G20	0319-6G20	0319-6G20
e074ed111a9a7f8a5586ac18330eb040	Bacteria	 Bdellovibrionota	 Oligoflexia	 0319-6G20	0319-6G20	0319-6G20
e5dd0e94da5b428ea428d90695fe5667	Bacteria	 Bdellovibrionota	 Oligoflexia	 0319-6G20	0319-6G20	0319-6G20
ec542986bfa9eacd1acbcf64ff9c3c06	Bacteria	 Bdellovibrionota	 Oligoflexia	 0319-6G20	0319-6G20	0319-6G20
ed8c57a04f816c31a237ee0375bc63f4	Bacteria	 Bdellovibrionota	 Oligoflexia	 0319-6G20	0319-6G20	0319-6G20
f6302e65a0d2085417f9361792350779	Bacteria	 Bdellovibrionota	 Oligoflexia	 0319-6G20	0319-6G20	0319-6G20
22ef16d53564e49d2d2c96ffa014f90a	Bacteria	 Chloroflexi	 Ktedonobacteria	 Ktedonobacterales	Ktedonobacteraceae	1959-1
1700bb624e5f9831524a598a97b6c2f6	Bacteria	 Proteobacteria	 Gammaproteobacteria	 211ds20	211ds20	211ds20
102ec5e18b370c29c34b9c5add0f533c	Bacteria	 Actinobacteriota	 Thermoleophilia	 Solirubrobacterales	67-14	67-14
1702b61243a911710d7057d54c25794b	Bacteria	 Actinobacteriota	 Thermoleophilia	 Solirubrobacterales	67-14	67-14
2545e6e92fe5e577798394b665fb9055	Bacteria	 Actinobacteriota	 Thermoleophilia	 Solirubrobacterales	67-14	67-14
46c9dd91596f02cd52b35ec791f216c2	Bacteria	 Actinobacteriota	 Thermoleophilia	 Solirubrobacterales	67-14	67-14
4bab56dcb81e254394c6cea4483b60a4	Bacteria	 Actinobacteriota	 Thermoleophilia	 Solirubrobacterales	67-14	67-14
720d0219acdaa9a3416e7ddf682d989f	Bacteria	 Actinobacteriota	 Thermoleophilia	 Solirubrobacterales	67-14	67-14
75e3f762f4e143c2ef820d6568ddab50	Bacteria	 Actinobacteriota	 Thermoleophilia	 Solirubrobacterales	67-14	67-14
828a5230400041ff59786c706993a92f	Bacteria	 Actinobacteriota	 Thermoleophilia	 Solirubrobacterales	67-14	67-14
82f02973ba09527e86bb28695f564e11	Bacteria	 Actinobacteriota	 Thermoleophilia	 Solirubrobacterales	67-14	67-14
8658e1442c9a3dbbacd3085c6f84a979	Bacteria	 Actinobacteriota	 Thermoleophilia	 Solirubrobacterales	67-14	67-14
9a461411a66d186944e9deffbc600e99	Bacteria	 Actinobacteriota	 Thermoleophilia	 Solirubrobacterales	67-14	67-14
a1331ff6e095b5920340ecc6cbb7ea7c	Bacteria	 Actinobacteriota	 Thermoleophilia	 Solirubrobacterales	67-14	67-14
ab9944228230b32365bd0c781227c979	Bacteria	 Actinobacteriota	 Thermoleophilia	 Solirubrobacterales	67-14	67-14
affc89ee8c8c54b95a1d7670bbb956c9	Bacteria	 Actinobacteriota	 Thermoleophilia	 Solirubrobacterales	67-14	67-14
b565a5dc8ac4ef1d5a77f33515a38240	Bacteria	 Actinobacteriota	 Thermoleophilia	 Solirubrobacterales	67-14	67-14
b8c1d53834483543d0fd2c3a35067363	Bacteria	 Actinobacteriota	 Thermoleophilia	 Solirubrobacterales	67-14	67-14
b8ce4375e1e117f61e5ac8ac3fc3b4de	Bacteria	 Actinobacteriota	 Thermoleophilia	 Solirubrobacterales	67-14	67-14
c17b6ff6c2ea5b96279092be045c68bc	Bacteria	 Actinobacteriota	 Thermoleophilia	 Solirubrobacterales	67-14	67-14
cf75e86201058ac465088f8193cd89db	Bacteria	 Actinobacteriota	 Thermoleophilia	 Solirubrobacterales	67-14	67-14
d3d0954f131032ebb7e76ddaca6831af	Bacteria	 Actinobacteriota	 Thermoleophilia	 Solirubrobacterales	67-14	67-14
d594219c7e58b9213a2cfe8f076d557f	Bacteria	 Actinobacteriota	 Thermoleophilia	 Solirubrobacterales	67-14	67-14
f179023b9983476c2848d385886b9940	Bacteria	 Actinobacteriota	 Thermoleophilia	 Solirubrobacterales	67-14	67-14
fcd5e9883d687addc9384b071e8b5da1	Bacteria	 Actinobacteriota	 Thermoleophilia	 Solirubrobacterales	67-14	67-14
036664f6215b334cc9775656457a2603	Bacteria	 Chloroflexi	 Anaerolineae	 SBR1031	A4b	A4b
79b6984300d7ab480c16679813976288	Bacteria	 Chloroflexi	 Anaerolineae	 SBR1031	A4b	A4b
867ee1cae047daf89163860de47efbdf	Bacteria	 Chloroflexi	 Anaerolineae	 SBR1031	A4b	A4b
d85bddfcf9c271b822c74ae40479a9c3	Bacteria	 Chloroflexi	 Anaerolineae	 SBR1031	A4b	A4b
1f83ea8c4e2a1892b862f8b82d1f1c54	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rickettsiales	AB1	AB1
1ad081dbb956f3379220b5802dc30992	Bacteria	 Abditibacteriota	 Abditibacteria	 Abditibacteriales	Abditibacteriaceae	Abditibacterium
40cb6cf2799dacc8810247666707d745	Bacteria	 Abditibacteriota	 Abditibacteria	 Abditibacteriales	Abditibacteriaceae	Abditibacterium
9dcc5f12f95dab4afe7a253dbc51ed71	Bacteria	 Abditibacteriota	 Abditibacteria	 Abditibacteriales	Abditibacteriaceae	Abditibacterium
a057ec2e638cfc38071a47f14944c366	Bacteria	 Abditibacteriota	 Abditibacteria	 Abditibacteriales	Abditibacteriaceae	Abditibacterium
29fbc7e5021229480248fa7466a499a2	Bacteria	 Firmicutes	 Bacilli	 Lactobacillales	Aerococcaceae	Abiotrophia
f30827061c600e3f405004f3e68dc71f	Bacteria	 Firmicutes	 Bacilli	 Lactobacillales	Aerococcaceae	Abiotrophia
002dd3552e6d5da10438c5198c430d5f	Bacteria	 Patescibacteria	 Gracilibacteria	 Absconditabacteriales_(SR1)	Absconditabacteriales_(SR1)	Absconditabacteriales_(SR1)
017d41c1827158caf647cd30b7e12320	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Acetobacterales	Acetobacteraceae	Acetobacteraceae
057c15af7da5fe512e9bb9985f0b5c89	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Acetobacterales	Acetobacteraceae	Acetobacteraceae
057df595f1dd6a918e3e7a47a7e1146e	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Acetobacterales	Acetobacteraceae	Acetobacteraceae
0b76d34075c61079a43ded7a92a72e8a	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Acetobacterales	Acetobacteraceae	Acetobacteraceae
0f2907a551660919a913ced77590cad2	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Acetobacterales	Acetobacteraceae	Acetobacteraceae
0ff5cbcf94c569e1f560b1f519c5ea71	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Acetobacterales	Acetobacteraceae	Acetobacteraceae
13664f481acf35fab360407d5ab72aa3	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Acetobacterales	Acetobacteraceae	Acetobacteraceae
15ff3a7696a2bbcbb5b2164925f73782	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Acetobacterales	Acetobacteraceae	Acetobacteraceae
163c35a90a30f3059cbcdcb0e8b11d50	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Acetobacterales	Acetobacteraceae	Acetobacteraceae
16e99c31d5baf965855a81489c946ba9	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Acetobacterales	Acetobacteraceae	Acetobacteraceae
172b419415957dca238d81539ce063d3	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Acetobacterales	Acetobacteraceae	Acetobacteraceae
17f7df20e8ac8f4609efd4bf3eeadeb2	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Acetobacterales	Acetobacteraceae	Acetobacteraceae
18112ef9b5c241194c70d01c14b4adaa	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Acetobacterales	Acetobacteraceae	Acetobacteraceae
