ASV,HostSpecies,Organism,IndVal,Species,SiteType,Guild
4df385038da1d076640b7c8749be4ae7,(a) Melaleuca quinquenervia Bacteria,Bacteria,0.644,Pantoea agglomerans,Natural,PlantSymbiont
1e30c80a316e14620f2c4167ace27cf1,(a) Melaleuca quinquenervia Bacteria,Bacteria,0.592,Lichenicoccus roseus,Natural,LichenSymbiont
25accfe37f8319e0ca7f0ba2b1eae49b,(a) Melaleuca quinquenervia Bacteria,Bacteria,0.467,Granulicella paludicola,Natural,Soil
d193cc6097df8ae99117409f070707ad,(a) Melaleuca quinquenervia Bacteria,Bacteria,0.379,Terriglobus roseus,Natural,Rhizosphere
da59261c5663619924bab7e79a737ce6,(a) Melaleuca quinquenervia Bacteria,Bacteria,0.826,Lichenihabitans psoromatis,Restored,LichenSymbiont
913b41de2d1b26b57c95a2eca092c1b9,(a) Melaleuca quinquenervia Bacteria,Bacteria,0.783,Lichenibacterium minor,Restored,LichenSymbiont
3d6657976bda6c0d850dbfa521a84263,(a) Melaleuca quinquenervia Bacteria,Bacteria,0.77,Lichenibacterium dinghuense,Restored,LichenSymbiont
60a8843517f35173407a9d146488e1ac,(a) Melaleuca quinquenervia Bacteria,Bacteria,0.692,Curtobacterium citreum,Restored,Soil
04ecfad5772d2e09a84a0f5ef460536c,(a) Melaleuca quinquenervia Bacteria,Bacteria,0.684,Methylobacterium radiodurans,Restored,Soil
af6dae6d1cfbd2b67ba39e01196dc488,(a) Melaleuca quinquenervia Bacteria,Bacteria,0.662,Methylopila musalis,Restored,PlantSymbiont
31e15e64c03b448bc198a28b085a813a,(a) Melaleuca quinquenervia Bacteria,Bacteria,0.627,Nitrospirillum amazonense,Restored,PlantSymbiont
38f00d1309a0f4feb0d7abbb06eef61f,(a) Melaleuca quinquenervia Bacteria,Bacteria,0.624,Acidocella aquatica,Restored,Unassigned
e95b4277f9caf56d3660e6b3d08eec7d,(a) Melaleuca quinquenervia Bacteria,Bacteria,0.622,Methylosinus trichosporium,Restored,Rhizosphere
c57740c1835bc24dd31f70a8b6b4c25d,(a) Melaleuca quinquenervia Bacteria,Bacteria,0.619,Frondihabitans sucicola,Restored,PlantSymbiont
d66072bb4e903a9c1a95728d29427410,(a) Melaleuca quinquenervia Bacteria,Bacteria,0.619,Curtobacterium gossypii,Restored,PlantSymbiont
d15bc449222795a9ff230013aa633686,(c) Microlaena stipoides Bacteria,Bacteria,0.671,Acinetobacter proteolyticus,Natural,Soil
dcba105f35d8ebc9e22269c7491ad3a7,(c) Microlaena stipoides Bacteria,Bacteria,0.357,Stenotrophomonas maltophila,Natural,Rhizosphere
3ef3bf00702397006fafc0fab1ba9d93,(c) Microlaena stipoides Bacteria,Bacteria,0.319,Pseudomonas japonica,Natural,Soil
f0a2f6acf476be1b31b832b83529d6c5,(c) Microlaena stipoides Bacteria,Bacteria,0.691,Bacillus coreaensis,Restored,Soil
e1c7d97fe13e9127d225d76a1feb8c78,(c) Microlaena stipoides Bacteria,Bacteria,0.684,Agrobacterium larrymoorei,Restored,PlantPathogen
166093520348b8c5ef6a4eb79faae728,(c) Microlaena stipoides Bacteria,Bacteria,0.675,Paenibacillus hunanensis,Restored,PlantSymbiont
c22b16cc6108c04f29fea3b6d4c81571,(c) Microlaena stipoides Bacteria,Bacteria,0.668,Acinetobacter pseudolwoffii,Restored,Soil
04ecfad5772d2e09a84a0f5ef460536c,(c) Microlaena stipoides Bacteria,Bacteria,0.618,Methylobacterium phyllosphaerae,Restored,PlantSymbiont
c06ccd1f7d57566ef669942328b1a946,(c) Microlaena stipoides Bacteria,Bacteria,0.616,Pseudomonas parafulva,Restored,PlantSymbiont
019dbae2126663ddb0710cfa00fccb48,(c) Microlaena stipoides Bacteria,Bacteria,0.588,Methylobacterium cerastii,Restored,PlantSymbiont
10afda2baef44de4c584a6641de399b1,(c) Microlaena stipoides Bacteria,Bacteria,0.554,Sphingomonas zeae,Restored,PlantSymbiont
3d5baff45729bf2214074c2e9f77ad10,(c) Microlaena stipoides Bacteria,Bacteria,0.541,Acinetobacter seifertii,Restored,Unassigned
893f998a57f8d7782182a7aa1cb8eeed,(c) Microlaena stipoides Bacteria,Bacteria,0.511,Methylobacterium gossipiicola,Restored,PlantSymbiont
45e3696d78d57fc35094a6cf67e6414b,(c) Microlaena stipoides Bacteria,Bacteria,0.509,Paenibacillus chinensis,Restored,PlantSymbiont
146195f72933e590d98b89c38d6eda33,(c) Microlaena stipoides Bacteria,Bacteria,0.506,Klenkia soli,Restored,Soil
6110f28a1de867a9983a8a28ecf4e533,(e) Themeda triandra Bacteria,Bacteria,0.534,Erwinia tasmaniensis,Natural,PlantSymbiont
dcba105f35d8ebc9e22269c7491ad3a7,(e) Themeda triandra Bacteria,Bacteria,0.466,Stenotrophomonas maltophila,Natural,Rhizosphere
6b94b2c3993ae9c468f7bb2e118dc767,(e) Themeda triandra Bacteria,Bacteria,0.381,Kineococcus mangrovi,Natural,Soil
a76e065bdfde0aa883c898ccf5f092fc,(e) Themeda triandra Bacteria,Bacteria,0.691,Sphingomonas roseiflava,Restored,PlantSymbiont
9c0de7908dd6ef3d536b42d9e11e0779,(e) Themeda triandra Bacteria,Bacteria,0.684,Ramlibacter rhizophilus,Restored,Rhizosphere
e1c7d97fe13e9127d225d76a1feb8c78,(e) Themeda triandra Bacteria,Bacteria,0.675,Agrobacterium larrymoorei,Restored,PlantPathogen
10afda2baef44de4c584a6641de399b1,(e) Themeda triandra Bacteria,Bacteria,0.668,Sphingomonas zeae,Restored,PlantSymbiont
