Sample	SampleID	PCR_Control	Extract_Control	Subset	Source	Site	Source_Site	Site_Source	Source_SiteType	SiteType_Site	Region	SiteType	Accession	SitePair
ext_blank_3_Fun_Control_FWD23	ext_blank_3_Fun_Control_FWD23	FALSE	TRUE	Control	Control	Extract_Control	Control	Control	Control	Control_Extract_Control	Control	Control	Control	NA
ext_blank_4_FWD24	ext_blank_4_FWD24	FALSE	TRUE	Control	Control	Extract_Control	Control	Control	Control	Control_Extract_Control	Control	Control	Control	NA
ext_blank_5_FWD24	ext_blank_5_FWD24	FALSE	TRUE	Control	Control	Extract_Control	Control	Control	Control	Control_Extract_Control	Control	Control	Control	NA
ext_blank_6_FWD24	ext_blank_6_FWD24	FALSE	TRUE	Control	Control	Extract_Control	Control	Control	Control	Control_Extract_Control	Control	Control	Control	NA
EXT_BLK_1_ITS2	EXT_BLK_1_ITS2	FALSE	TRUE	Control	Control	Extract_Control	Control	Control	Control	Control_Extract_Control	Control	Control	Control	NA
EXT_BLK_2_ITS2	EXT_BLK_2_ITS2	FALSE	TRUE	Control	Control	Extract_Control	Control	Control	Control	Control_Extract_Control	Control	Control	Control	NA
EXT_BLK_3_ITS2	EXT_BLK_3_ITS2	FALSE	TRUE	Control	Control	Extract_Control	Control	Control	Control	Control_Extract_Control	Control	Control	Control	NA
Mock_4_FWD24	Mock_4_FWD24	FALSE	FALSE	Control	Control	Mock_Community	Control	Control	Control	Control_Mock_Community	Control	Control	Control	NA
Mock_5_FWD24	Mock_5_FWD24	FALSE	FALSE	Control	Control	Mock_Community	Control	Control	Control	Control_Mock_Community	Control	Control	Control	NA
Mock_6_FWD24	Mock_6_FWD24	FALSE	FALSE	Control	Control	Mock_Community	Control	Control	Control	Control_Mock_Community	Control	Control	Control	NA
Mock_7_FWD16	Mock_7_FWD16	FALSE	FALSE	Control	Control	Mock_Community	Control	Control	Control	Control_Mock_Community	Control	Control	Control	NA
Mock_8_FWD16	Mock_8_FWD16	FALSE	FALSE	Control	Control	Mock_Community	Control	Control	Control	Control_Mock_Community	Control	Control	Control	NA
Mock_Fungi_1_Control_FWD24	Mock_Fungi_1_Control_FWD24	FALSE	FALSE	Control	Control	Mock_Community	Control	Control	Control	Control_Mock_Community	Control	Control	Control	NA
Mock_Fungi_2_Control_FWD24	Mock_Fungi_2_Control_FWD24	FALSE	FALSE	Control	Control	Mock_Community	Control	Control	Control	Control_Mock_Community	Control	Control	Control	NA
Mock_Fungi_3_Control_FWD24	Mock_Fungi_3_Control_FWD24	FALSE	FALSE	Control	Control	Mock_Community	Control	Control	Control	Control_Mock_Community	Control	Control	Control	NA
Blank_PCR1f_FWD12	Blank_PCR1f_FWD12	TRUE	FALSE	Control	Control	PCR_Control	Control	Control	Control	Control_PCR_Control	Control	Control	Control	NA
Blank_PCR2f_FWD12	Blank_PCR2f_FWD12	TRUE	FALSE	Control	Control	PCR_Control	Control	Control	Control	Control_PCR_Control	Control	Control	Control	NA
NTC_OH_1_ITS2_Control_FWD24	NTC_OH_1_ITS2_Control_FWD24	TRUE	FALSE	Control	Control	PCR_Control	Control	Control	Control	Control_PCR_Control	Control	Control	Control	NA
NTC_OH_2_ITS2	NTC_OH_2_ITS2	TRUE	FALSE	Control	Control	PCR_Control	Control	Control	Control	Control_PCR_Control	Control	Control	Control	NA
NTC_OH_2_ITS2_Control_FWD24	NTC_OH_2_ITS2_Control_FWD24	TRUE	FALSE	Control	Control	PCR_Control	Control	Control	Control	Control_PCR_Control	Control	Control	Control	NA
NTC_OH_3_ITS2	NTC_OH_3_ITS2	TRUE	FALSE	Control	Control	PCR_Control	Control	Control	Control	Control_PCR_Control	Control	Control	Control	NA
NTC_OH_3_ITS2_Control_FWD24	NTC_OH_3_ITS2_Control_FWD24	TRUE	FALSE	Control	Control	PCR_Control	Control	Control	Control	Control_PCR_Control	Control	Control	Control	NA
NTC_OH_4f_FWD16	NTC_OH_4f_FWD16	TRUE	FALSE	Control	Control	PCR_Control	Control	Control	Control	Control_PCR_Control	Control	Control	Control	NA
NTC_OH_5f_FWD16	NTC_OH_5f_FWD16	TRUE	FALSE	Control	Control	PCR_Control	Control	Control	Control	Control_PCR_Control	Control	Control	Control	NA
S330f_NSW1092977_FWD17	S330f_NSW1092977_FWD17	FALSE	FALSE	Sample	Melaleuca_quinquenervia	Budgewoi_Dune_Care	Melaleuca_quinquenervia_Budgewoi_Dune_Care	Budgewoi_Dune_Care_Melaleuca_quinquenervia	Melaleuca_quinquenervia_Restored	Restored_Budgewoi_Dune_Care	North_Coast	Restored	NSW1092977	SitePair5
S343f_NSW1092992_FWD18	S343f_NSW1092992_FWD18	FALSE	FALSE	Sample	Melaleuca_quinquenervia	Budgewoi_Dune_Care	Melaleuca_quinquenervia_Budgewoi_Dune_Care	Budgewoi_Dune_Care_Melaleuca_quinquenervia	Melaleuca_quinquenervia_Restored	Restored_Budgewoi_Dune_Care	North_Coast	Restored	NSW1092992	SitePair5
S348f_NSW1093054_FWD19	S348f_NSW1093054_FWD19	FALSE	FALSE	Sample	Melaleuca_quinquenervia	Budgewoi_Dune_Care	Melaleuca_quinquenervia_Budgewoi_Dune_Care	Budgewoi_Dune_Care_Melaleuca_quinquenervia	Melaleuca_quinquenervia_Restored	Restored_Budgewoi_Dune_Care	North_Coast	Restored	NSW1093054	SitePair5
S350f_NSW1092982_FWD19	S350f_NSW1092982_FWD19	FALSE	FALSE	Sample	Melaleuca_quinquenervia	Budgewoi_Dune_Care	Melaleuca_quinquenervia_Budgewoi_Dune_Care	Budgewoi_Dune_Care_Melaleuca_quinquenervia	Melaleuca_quinquenervia_Restored	Restored_Budgewoi_Dune_Care	North_Coast	Restored	NSW1092982	SitePair5
S354f_NSW1092967_FWD19	S354f_NSW1092967_FWD19	FALSE	FALSE	Sample	Melaleuca_quinquenervia	Budgewoi_Dune_Care	Melaleuca_quinquenervia_Budgewoi_Dune_Care	Budgewoi_Dune_Care_Melaleuca_quinquenervia	Melaleuca_quinquenervia_Restored	Restored_Budgewoi_Dune_Care	North_Coast	Restored	NSW1092967	SitePair5
S355f_NSW1092997_FWD19	S355f_NSW1092997_FWD19	FALSE	FALSE	Sample	Melaleuca_quinquenervia	Budgewoi_Dune_Care	Melaleuca_quinquenervia_Budgewoi_Dune_Care	Budgewoi_Dune_Care_Melaleuca_quinquenervia	Melaleuca_quinquenervia_Restored	Restored_Budgewoi_Dune_Care	North_Coast	Restored	NSW1092997	SitePair5
S356f_NSW1092987_FWD19	S356f_NSW1092987_FWD19	FALSE	FALSE	Sample	Melaleuca_quinquenervia	Budgewoi_Dune_Care	Melaleuca_quinquenervia_Budgewoi_Dune_Care	Budgewoi_Dune_Care_Melaleuca_quinquenervia	Melaleuca_quinquenervia_Restored	Restored_Budgewoi_Dune_Care	North_Coast	Restored	NSW1092987	SitePair5
S358f_NSW1092950_FWD20	S358f_NSW1092950_FWD20	FALSE	FALSE	Sample	Melaleuca_quinquenervia	Budgewoi_Dune_Care	Melaleuca_quinquenervia_Budgewoi_Dune_Care	Budgewoi_Dune_Care_Melaleuca_quinquenervia	Melaleuca_quinquenervia_Restored	Restored_Budgewoi_Dune_Care	North_Coast	Restored	NSW1092950	SitePair5
S359f_NSW1092962_FWD20	S359f_NSW1092962_FWD20	FALSE	FALSE	Sample	Melaleuca_quinquenervia	Budgewoi_Dune_Care	Melaleuca_quinquenervia_Budgewoi_Dune_Care	Budgewoi_Dune_Care_Melaleuca_quinquenervia	Melaleuca_quinquenervia_Restored	Restored_Budgewoi_Dune_Care	North_Coast	Restored	NSW1092962	SitePair5
S360f_NSW1092972_FWD20	S360f_NSW1092972_FWD20	FALSE	FALSE	Sample	Melaleuca_quinquenervia	Budgewoi_Dune_Care	Melaleuca_quinquenervia_Budgewoi_Dune_Care	Budgewoi_Dune_Care_Melaleuca_quinquenervia	Melaleuca_quinquenervia_Restored	Restored_Budgewoi_Dune_Care	North_Coast	Restored	NSW1092972	SitePair5
S329f_NSW1092843_FWD17	S329f_NSW1092843_FWD17	FALSE	FALSE	Sample	Melaleuca_quinquenervia	Burrawang_Reserve_Woy_Woy	Melaleuca_quinquenervia_Burrawang_Reserve_Woy_Woy	Burrawang_Reserve_Woy_Woy_Melaleuca_quinquenervia	Melaleuca_quinquenervia_Restored	Restored_Burrawang_Reserve_Woy_Woy	North_Coast	Restored	NSW1092843	SitePair4
S332f_NSW1093846_FWD17	S332f_NSW1093846_FWD17	FALSE	FALSE	Sample	Melaleuca_quinquenervia	Burrawang_Reserve_Woy_Woy	Melaleuca_quinquenervia_Burrawang_Reserve_Woy_Woy	Burrawang_Reserve_Woy_Woy_Melaleuca_quinquenervia	Melaleuca_quinquenervia_Restored	Restored_Burrawang_Reserve_Woy_Woy	North_Coast	Restored	NSW1093846	SitePair4
S336f_NSW1092853_FWD18	S336f_NSW1092853_FWD18	FALSE	FALSE	Sample	Melaleuca_quinquenervia	Burrawang_Reserve_Woy_Woy	Melaleuca_quinquenervia_Burrawang_Reserve_Woy_Woy	Burrawang_Reserve_Woy_Woy_Melaleuca_quinquenervia	Melaleuca_quinquenervia_Restored	Restored_Burrawang_Reserve_Woy_Woy	North_Coast	Restored	NSW1092853	SitePair4
S345f_NSW1092948_FWD19	S345f_NSW1092948_FWD19	FALSE	FALSE	Sample	Melaleuca_quinquenervia	Burrawang_Reserve_Woy_Woy	Melaleuca_quinquenervia_Burrawang_Reserve_Woy_Woy	Burrawang_Reserve_Woy_Woy_Melaleuca_quinquenervia	Melaleuca_quinquenervia_Restored	Restored_Burrawang_Reserve_Woy_Woy	North_Coast	Restored	NSW1092948	SitePair4
S352f_NSW1092858_FWD19	S352f_NSW1092858_FWD19	FALSE	FALSE	Sample	Melaleuca_quinquenervia	Burrawang_Reserve_Woy_Woy	Melaleuca_quinquenervia_Burrawang_Reserve_Woy_Woy	Burrawang_Reserve_Woy_Woy_Melaleuca_quinquenervia	Melaleuca_quinquenervia_Restored	Restored_Burrawang_Reserve_Woy_Woy	North_Coast	Restored	NSW1092858	SitePair4
S357f_NSW1092949_FWD20	S357f_NSW1092949_FWD20	FALSE	FALSE	Sample	Melaleuca_quinquenervia	Burrawang_Reserve_Woy_Woy	Melaleuca_quinquenervia_Burrawang_Reserve_Woy_Woy	Burrawang_Reserve_Woy_Woy_Melaleuca_quinquenervia	Melaleuca_quinquenervia_Restored	Restored_Burrawang_Reserve_Woy_Woy	North_Coast	Restored	NSW1092949	SitePair4
S361f_NSW1092863_FWD20	S361f_NSW1092863_FWD20	FALSE	FALSE	Sample	Melaleuca_quinquenervia	Burrawang_Reserve_Woy_Woy	Melaleuca_quinquenervia_Burrawang_Reserve_Woy_Woy	Burrawang_Reserve_Woy_Woy_Melaleuca_quinquenervia	Melaleuca_quinquenervia_Restored	Restored_Burrawang_Reserve_Woy_Woy	North_Coast	Restored	NSW1092863	SitePair4
S367f_NSW1092811_FWD20	S367f_NSW1092811_FWD20	FALSE	FALSE	Sample	Melaleuca_quinquenervia	Burrawang_Reserve_Woy_Woy	Melaleuca_quinquenervia_Burrawang_Reserve_Woy_Woy	Burrawang_Reserve_Woy_Woy_Melaleuca_quinquenervia	Melaleuca_quinquenervia_Restored	Restored_Burrawang_Reserve_Woy_Woy	North_Coast	Restored	NSW1092811	SitePair4
S283_NSW1079702_FWD20	S283_NSW1079702_FWD20	FALSE	FALSE	Sample	Melaleuca_quinquenervia	Colongra_Swamp_NR	Melaleuca_quinquenervia_Colongra_Swamp_NR	Colongra_Swamp_NR_Melaleuca_quinquenervia	Melaleuca_quinquenervia_Natural	Natural_Colongra_Swamp_NR	North_Coast	Natural	NSW1079702	SitePair1
S284_NSW1074429_FWD21	S284_NSW1074429_FWD21	FALSE	FALSE	Sample	Melaleuca_quinquenervia	Colongra_Swamp_NR	Melaleuca_quinquenervia_Colongra_Swamp_NR	Colongra_Swamp_NR_Melaleuca_quinquenervia	Melaleuca_quinquenervia_Natural	Natural_Colongra_Swamp_NR	North_Coast	Natural	NSW1074429	SitePair1
S285_NSW1074428_FWD21	S285_NSW1074428_FWD21	FALSE	FALSE	Sample	Melaleuca_quinquenervia	Colongra_Swamp_NR	Melaleuca_quinquenervia_Colongra_Swamp_NR	Colongra_Swamp_NR_Melaleuca_quinquenervia	Melaleuca_quinquenervia_Natural	Natural_Colongra_Swamp_NR	North_Coast	Natural	NSW1074428	SitePair1
