ASV,HostSpecies,Organism,IndVal,Species,Guild,SiteType
90e05d3333926ee8560b9c5a503b467c,(b) Melaleuca quinquenervia Fungi,Fungi,0.789,Neophaeomoniella eucalypti,PlantPathogen,Natural
713ffd93cfa9a81d72a414ae7ba6d9c8,(b) Melaleuca quinquenervia Fungi,Fungi,0.748,Neodevriesia fraserae,PlantPathogen,Natural
303e9ab3e4d83037ad04ac4dc6ac3750,(b) Melaleuca quinquenervia Fungi,Fungi,0.706,Pestalotiopsis rhizophorae,PlantPathogen,Natural
dbd67111aa983af089090311480182cf,(b) Melaleuca quinquenervia Fungi,Fungi,0.705,Camptophora hylomeconis,FoliarEndophyte,Natural
feeabaccf7f7e8bb81fc625d26d59c45,(b) Melaleuca quinquenervia Fungi,Fungi,0.704,Lapidomyces aloidendricola,Saprotroph,Natural
8e47237dda4929c4b9babc1a1b65c74d,(b) Melaleuca quinquenervia Fungi,Fungi,0.704,Pseudosydowia backhousiae,PlantPathogen,Natural
00ced32aa98362b738d91a3eb9bd195a,(b) Melaleuca quinquenervia Fungi,Fungi,0.679,Aureobasidium melanogenum,LitterSaprotroph,Natural
f38a333318715802a5321b77dafa8ac3,(b) Melaleuca quinquenervia Fungi,Fungi,0.662,Melanina gundecimermaniae,Endolichenic,Natural
66895503657ee015753be5a5d8f12b97,(b) Melaleuca quinquenervia Fungi,Fungi,0.662,Exophiala sideris,LitterSaprotroph,Natural
195b14b93cac397f8fda702dc4911253,(b) Melaleuca quinquenervia Fungi,Fungi,0.646,Pseudoramichloridium henryi,SoilSaprotroph,Natural
69963f045eaec775f3c09f76eae92f8b,(b) Melaleuca quinquenervia Fungi,Fungi,0.63,Nothophaeomoniella ekebergiae,FoliarEndophyte,Natural
edcde8c88d08002fefa9f17d8ecfea09,(b) Melaleuca quinquenervia Fungi,Fungi,0.624,Exophiala viscosa,LitterSaprotroph,Natural
13d714e026ea98d39048d46088bbb27e,(b) Melaleuca quinquenervia Fungi,Fungi,1,Crustomyces albidus,WoodSaprotroph,Restored
08d6905bddae7391916a2d7dc57bd8ec,(b) Melaleuca quinquenervia Fungi,Fungi,0.989,Rosellinia australiensis,PlantPathogen,Restored
1e8aa122bfdb65791884d37c4d488366,(b) Melaleuca quinquenervia Fungi,Fungi,0.881,Trichothecium roseum,PlantPathogen,Restored
2bb16f07ce02b1b2179b369e196c9175,(b) Melaleuca quinquenervia Fungi,Fungi,0.809,Acremonium incrustatum,Saprotroph,Restored
0a9208a42f7727fb966efea094d574d4,(b) Melaleuca quinquenervia Fungi,Fungi,0.682,Trichoderma afroharzianum,FoliarEndophyte,Restored
3fcf8b48adaacfeefa67be0fc7ed748e,(b) Melaleuca quinquenervia Fungi,Fungi,0.65,Trichoderma scalesiae,FoliarEndophyte,Restored
204eeef9751b6a75d0ef38d26769aa02,(b) Melaleuca quinquenervia Fungi,Fungi,0.603,Teratosphaeria mexicana,PlantPathogen,Restored
b339d9bf84b94fee469c60751296f76f,(b) Melaleuca quinquenervia Fungi,Fungi,0.597,Thyridium cornearis,WoodSaprotroph,Restored
