	Kingdom	Phylum	Class	Order	Family	Genus	ASV	ASVNumber	Keystone
1	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhizobiales	Beijerinckiaceae	Psychroglaciecola	01f02bddb2fc08de779a3534b17b19f5	1	NonKeystone
2	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhizobiales	Beijerinckiaceae	Beijerinckiaceae	031be5d338fd857a53c7e27f41528745	2	NonKeystone
3	Bacteria	 Acidobacteriota	 Acidobacteriae	 Bryobacterales	Bryobacteraceae	Bryobacter	0462c54013d8a369c0e9e1e8279707e4	3	NonKeystone
4	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhizobiales	Beijerinckiaceae	Methylobacterium-Methylorubrum	04ecfad5772d2e09a84a0f5ef460536c	4	NonKeystone
5	Bacteria	 Acidobacteriota	 Acidobacteriae	 Acidobacteriales	Acidobacteriaceae_(Subgroup_1)	Edaphobacter	05dcbb997268720a569df2460a957659	5	NonKeystone
6	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhizobiales	Beijerinckiaceae	Beijerinckiaceae	092211a3e1314c2b9ec9d3815c98f7e3	6	NonKeystone
7	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhizobiales	Beijerinckiaceae	Beijerinckiaceae	0c556252aafd66be86bf1f0bcb42dfe9	7	NonKeystone
8	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Acetobacterales	Acetobacteraceae	Acidiphilium	0c64d7b1aecf107cc8d3818c482e6f00	8	NonKeystone
9	Bacteria	 Actinobacteriota	 Thermoleophilia	 Solirubrobacterales	Solirubrobacteraceae	Conexibacter	0d529de95bca2e9ad09b3071a3bca924	9	NonKeystone
10	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Caulobacterales	Caulobacteraceae	Caulobacteraceae	0db9b0b24a364c07fe1ba5714c09a4c4	10	NonKeystone
11	Bacteria	 Bacteroidota	 Bacteroidia	 Sphingobacteriales	Sphingobacteriaceae	Mucilaginibacter	0efa2ca3657867de7d8fd400dec7ec2f	11	NonKeystone
12	Bacteria	 Acidobacteriota	 Acidobacteriae	 Acidobacteriales	Acidobacteriaceae_(Subgroup_1)	Bryocella	1754b5ae498463b967561ab783828f90	12	NonKeystone
13	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Sphingomonadales	Sphingomonadaceae	Sphingomonas	176f6a18afc67d250fbe81ff790b83b1	13	NonKeystone
14	Bacteria	 Bacteroidota	 Bacteroidia	 Chitinophagales	Chitinophagaceae	Chitinophagaceae	1870c3c4bbfa580d373e8e8a924e2297	14	NonKeystone
15	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhizobiales	Beijerinckiaceae	Methylobacterium-Methylorubrum	18842270c9066e0f2c3ddddd863c3e92	15	NonKeystone
16	Bacteria	 Acidobacteriota	 Acidobacteriae	 Acidobacteriales	Acidobacteriaceae_(Subgroup_1)	Granulicella	1a54dfe0deba4dbfa146c546bd5f0426	16	NonKeystone
17	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhizobiales	Beijerinckiaceae	Beijerinckiaceae	1b3a9dbef5073d8b83e169bdd738f1a3	17	NonKeystone
18	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhizobiales	Beijerinckiaceae	Beijerinckiaceae	1cda9c511fb9294e8a6ea668218a0461	18	NonKeystone
19	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Sphingomonadales	Sphingomonadaceae	Sphingomonadaceae	1d4cb1234a95bad047851916cca793da	19	NonKeystone
20	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Acetobacterales	Acetobacteraceae	Acetobacteraceae	1e30c80a316e14620f2c4167ace27cf1	20	NonKeystone
21	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Burkholderiales	Burkholderiaceae	Robbsia	1ec9fd06c88669eb15764e0b441ade46	21	NonKeystone
22	Bacteria	 Bacteroidota	 Bacteroidia	 Sphingobacteriales	Sphingobacteriaceae	Mucilaginibacter	1ff49680f9e219e501863d77aad92303	22	NonKeystone
23	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhizobiales	Beijerinckiaceae	Beijerinckiaceae	20746714e8b7a3fefdabac3d5ead9c79	23	NonKeystone
24	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhizobiales	Beijerinckiaceae	Beijerinckiaceae	21eef06bdd74444d56578c7de1c0759a	24	NonKeystone
25	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhizobiales	Beijerinckiaceae	Beijerinckiaceae	2397dfce9fceb93e7437c6c1bd70c0ff	25	NonKeystone
26	Bacteria	 Acidobacteriota	 Acidobacteriae	 Acidobacteriales	Acidobacteriaceae_(Subgroup_1)	Granulicella	25accfe37f8319e0ca7f0ba2b1eae49b	26	NonKeystone
27	Bacteria	 Acidobacteriota	 Acidobacteriae	 Acidobacteriales	Acidobacteriaceae_(Subgroup_1)	Bryocella	2b069b8c0bd7570d283fd4a7cbaaa009	27	NonKeystone
28	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Sphingomonadales	Sphingomonadaceae	Sphingomonas	2e469ff37bbbb0fdc480509488c304e8	28	NonKeystone
29	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Acetobacterales	Acetobacteraceae	Acidiphilium	2f23ba04e29d4f4fe40a157cc74d49b8	29	NonKeystone
30	Bacteria	 Acidobacteriota	 Acidobacteriae	 Acidobacteriales	Acidobacteriaceae_(Subgroup_1)	Granulicella	2ff46a3081f55999f35977e5d317cb32	30	NonKeystone
31	Bacteria	 Acidobacteriota	 Acidobacteriae	 Acidobacteriales	Acidobacteriaceae_(Subgroup_1)		3036176320d4d0ee104f8d7194c156f5	31	NonKeystone
32	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Acetobacterales	Acetobacteraceae	Acetobacteraceae	314d0cab526ff70285ade6b1d723960d	32	NonKeystone
33	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Elsterales	Elsterales	Elsterales	31e15e64c03b448bc198a28b085a813a	33	NonKeystone
34	Bacteria	 Acidobacteriota	 Acidobacteriae	 Bryobacterales	Bryobacteraceae	Bryobacter	32ff2e6cedfd833181edc38ffa6c1217	34	NonKeystone
35	Bacteria	 Acidobacteriota	 Acidobacteriae	 Bryobacterales	Bryobacteraceae	Bryobacter	37a0e117aa83c805b4fa33a83e4248b1	35	NonKeystone
36	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Caulobacterales	Caulobacteraceae	Caulobacteraceae	37ceb1ef59703bf6ff6eb686d0dc2dd7	36	NonKeystone
37	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Acetobacterales	Acetobacteraceae	Acidocella	38f00d1309a0f4feb0d7abbb06eef61f	37	NonKeystone
38	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Sphingomonadales	Sphingomonadaceae	Novosphingobium	3b85f63ee1b4334e7623add0ca7a0b70	38	NonKeystone
39	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Enterobacterales	Enterobacterales	Enterobacterales	3b94c19ef326eea0918e1c3d244c999c	39	NonKeystone
40	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Acetobacterales	Acetobacteraceae	Acetobacteraceae	3ba26513f409dbfc2b47d03f42467ae2	40	NonKeystone
41	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Acetobacterales	Acetobacteraceae	Acidiphilium	3c869c17a0fcba1c3abc4ff30c6ab95b	41	NonKeystone
42	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhizobiales	Beijerinckiaceae	Beijerinckiaceae	3d6657976bda6c0d850dbfa521a84263	42	NonKeystone
43	Bacteria	 Actinobacteriota	 Thermoleophilia	 Solirubrobacterales	Solirubrobacteraceae	Conexibacter	3f8e0a9db9a3c44a412c1d1bda565f00	43	NonKeystone
44	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Sphingomonadales	Sphingomonadaceae	Sphingomonas	40d245d18aa737c786c5ce057dad5ba0	44	NonKeystone
45	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Acetobacterales	Acetobacteraceae	Acetobacteraceae	425b3de5cbbcbc02c44d73d37d9cf553	45	NonKeystone
46	Bacteria	 Actinobacteriota	 Actinobacteria	 Micrococcales	Microbacteriaceae	Microbacteriaceae	453cf07d3e96e304f23fbde7b355fe70	46	NonKeystone
47	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Acetobacterales	Acetobacteraceae	Acidiphilium	47dee9fa450249113faf1152a35dedaf	47	NonKeystone
48	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Caulobacterales	Caulobacteraceae	Caulobacteraceae	4862c1f3a433255398a6d3c1db6f12c5	48	NonKeystone
49	Bacteria	 Acidobacteriota	 Acidobacteriae	 Acidobacteriales	Acidobacteriaceae_(Subgroup_1)	Bryocella	48c91cb434b9ef8da0d6a4706f8dd875	49	NonKeystone
50	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Acetobacterales	Acetobacteraceae	Acidocella	4a69538dcc50afc0e15ead161031f5c1	50	NonKeystone
51	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Acetobacterales	Acetobacteraceae	Acetobacteraceae	4df385038da1d076640b7c8749be4ae7	51	NonKeystone
52	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhizobiales	Beijerinckiaceae	Methylocella	5150277153eb0c057c50f0d9d5eee466	52	NonKeystone
53	Bacteria	 Bacteroidota	 Bacteroidia	 Sphingobacteriales	Sphingobacteriaceae	Sphingobacteriaceae	51a7baa73565a17fc74808d870980ac3	53	NonKeystone
54	Bacteria	 Acidobacteriota	 Acidobacteriae	 Acidobacteriales	Acidobacteriaceae_(Subgroup_1)		539a3deadbee2e58b2b6e05ceabbc0a0	54	NonKeystone
55	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Burkholderiales	Burkholderiaceae	Robbsia	553580914f00650671d190aea766710d	55	NonKeystone
56	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Enterobacterales	Erwiniaceae	Pantoea	5673ae66819e3bdbbc09461e4959159e	56	NonKeystone
57	Bacteria	 Acidobacteriota	 Acidobacteriae	 Acidobacteriales	Acidobacteriaceae_(Subgroup_1)	Acidobacteriaceae_(Subgroup_1)	5725ad373356fc6151842ef8694be9cb	57	NonKeystone
