MCODE App Results				
"Date: 23 July 2024, 11:10:35 am"				
				
Parameters:				
   Network Scoring:				
      Include Loops: false  Degree Cutoff: 2				
   Cluster Finding:				
      Node Score Cutoff: 0.2  Haircut: true  Fluff: false  K-Core: 2  Max. Depth from Seed: 100				
				
Cluster	Score (Density*#Nodes)	Nodes	Edges	Node IDs
1	11.652	24	134	"469, 309, 468, 424, 370, 254, 332, 219, 482, 491, 235, 455, 310, 374, 474, 195, 294, 497, 483, 427, 487, 221, 403, 297"
2	9.286	15	65	"498, 396, 408, 430, 347, 378, 350, 342, 437, 327, 322, 449, 315, 281, 495"
3	5.25	9	21	"337, 480, 510, 463, 389, 334, 384, 476, 232"
4	4.8	6	12	"489, 407, 198, 268, 481, 296"
5	4.2	11	21	"234, 318, 244, 432, 441, 272, 208, 351, 313, 299, 245"
6	3.333	4	5	"271, 501, 492, 507"
7	3.333	4	5	"361, 472, 240, 203"
8	3.333	4	5	"266, 285, 397, 387"
9	3	3	3	"194, 434, 349"
10	3	3	3	"290, 375, 379"
11	3	3	3	"470, 514, 277"
12	3	3	3	"163, 91, 77"
