"cooc_method","Edge Betweenness Dir","EdgeBetweenness","interaction","interactionType","Label","method_number","method_scores","methodname_score","name","pval","qval","selected","shared interaction","shared name","weight"
"correl_pearson|dist_bray","1.0","1.0","","copresence","377->264","2","0.04439374|0.995917070828481","","377->264","0.0","0.0","false","","377->264","2.0"
"correl_pearson|dist_bray","2.0","8.0","","copresence","119->89","2","0.9990852250875422|0.02098881","","119->89","0.0","0.0","false","","119->89","2.0"
"correl_pearson|dist_bray","1.0","1.0","","copresence","333->520","2","0.0|0.0470164","","333->520","0.0","0.0","false","","333->520","2.0"
"correl_pearson|dist_bray","1.0","2.0","","copresence","61->142","2","0.0|0.01924557","","61->142","0.0","0.0","false","","61->142","2.0"
"correl_pearson|dist_bray","1.0","2.0","","copresence","61->157","2","0.0|0.04584803","","61->157","0.0","0.0","false","","61->157","2.0"
"correl_pearson|dist_bray","1.0","1.0","","copresence","231->213","2","0.9935005029526685|0.05624377","","231->213","0.0","0.0","false","","231->213","2.0"
"correl_pearson|dist_bray","1.0","2.0","","copresence","172->156","2","0.0821256|0.9957796091643362","","172->156","0.0","0.0","false","","172->156","2.0"
"correl_pearson|dist_bray","1.0","2.0","","copresence","435->250","2","0.09116123|0.9888930190402023","","435->250","0.0","0.0","false","","435->250","2.0"
"correl_pearson|dist_bray","1.0","6.0","","copresence","304->73","2","0.01471501|0.999575779627717","","304->73","0.0","0.0","false","","304->73","2.0"
"correl_pearson|dist_bray","1.0","1.0","","copresence","132->78","2","0.04753549|0.9991987554101806","","132->78","0.0","0.0","false","","132->78","2.0"
"correl_pearson|dist_bray","1.0","4.0","","copresence","336->82","2","0.03378977|0.9976663053666601","","336->82","0.0","0.0","false","","336->82","2.0"
"correl_pearson|dist_bray","1.0","9.0","","copresence","56->108","2","0.0|0.08433735","","56->108","0.0","0.0","false","","56->108","2.0"
"correl_pearson|dist_bray","1.0","2.0","","copresence","434->349","2","0.9934554694060919|0.07373596","","434->349","0.0","0.0","false","","434->349","2.0"
"correl_pearson|dist_bray","1.0","5.0","","copresence","183->73","2","0.9918031964370467|0.06327612","","183->73","0.0","0.0","false","","183->73","2.0"
