abundance,AverageShortestPathLength,Betweenness Dir,BetweennessCentrality,Bridging Dir,Centroid Dir,Class,Closeness Dir,ClosenessCentrality,ClusteringCoefficient,degree,Eccentricity,EdgeCount,EigenVector Dir,Family,Genus,Indegree,Outdegree,Species,Kingdom,Label,MCODE::Clusters (1),MCODE::Node Status (1),MCODE::Score (1),name,negdegree,NeighborhoodConnectivity,Order,oriID,PartnerOfMultiEdgedNodePairs,phylum,posdegree,Radiality Dir,samplecount,selected,SelfLoops,shared name,Stress,unknowndegree
372,1.5,0,0,0,-80,Dothideomycetes,65.7,0.6666666666666666,0.20714285714285716,56,5,56,-1.38E-12,Capnodiales,Capnodiales,0,56,fcda6e5477d34187c3354e74411ccccc,Fungi,347,Cluster 2,Clustered,9.832147937411095,347,0,29.125,Capnodiales,347,0,Ascomycota,56,6.914194842010645E-4,3,FALSE,0,347,0,0
396,0,0,0,0,0,Dothideomycetes,0,0,0.200209644,54,0,54,-1.65E-27,Lophiostomataceae,Lophiostomataceae,54,0,eeec9c079982dd137d67fdf0afdc2004,Fungi,370,Cluster 1,Clustered,8.039867109634551,370,0,28.98148148148148,Pleosporales,370,0,Ascomycota,54,6.613756613756613E-4,3,FALSE,0,370,0,0
414,2,6.187942130333434,0.044907111,0.061526929,-5,Sordariomycetes,3.1666666666666665,0.5,0.21116138763197587,52,3,52,-3.91E-27,Sporocadaceae,Neopestalotiopsis,50,2,b1700e7f0e92adc360cb3065cd5be12d,Fungi,408,Cluster 2,Clustered,10.057142857142857,408,0,29.692307692307693,Xylariales,408,0,Ascomycota,52,6.627637247321329E-4,2,FALSE,0,408,1982,0
371,1.5897435897435896,7.783333333333333,0.081195514,0.053331858995062445,-78,Eurotiomycetes,60.58333333333334,0.6290322580645161,0.19047619047619047,49,4,49,-3.54E-13,Chaetothyriales,Chaetothyriales,1,48,e882ba09595916cf30cf2011c0600e9d,Fungi,337,Cluster 3,Seed,6.106060606060606,337,0,28.73469387755102,Chaetothyriales,337,0,Ascomycota,49,6.889820290520752E-4,2,TRUE,0,337,852,0
473,1.8333333333333333,6.021275463666768,0.043266402,0.068064548,-6,Dothideomycetes,4.166666666666666,0.5454545454545455,0.21768707482993196,49,3,49,-3.25E-26,Aureobasidiaceae,Aureobasidium,46,3,a66f0ef2c13257e1904b0290771dfc94,Fungi,469,Cluster 1,Clustered,9.478991596638656,469,0,30.040816326530614,Dothideales,469,0,Ascomycota,49,6.632032718028075E-4,2,FALSE,0,469,1915,0
202,1.6338028169014085,485.3361805949772,3.220821137442141,5.611331444143579,-71,Dothideomycetes,55.36666666666667,0.6120689655172413,0.20582793709528216,47,5,47,1.3960067575089263E-26,Dothideomycetes,Dothideomycetes,2,45,22ff1032838ee027f64f69db8618a089,Fungi,195,Cluster 1,Clustered,7.846372688477952,195,0,29,Dothideomycetes,195,0,Ascomycota,47,6.865145655506989E-4,2,FALSE,0,195,95211,0
271,1.8732394366197183,92.06109153431137,0.6806314795281633,1.014789531015928,-71,Lecanoromycetes,52.18333333333333,0.5338345864661654,0.2085858585858586,45,5,45,0,Stictidaceae,Cryptodiscus,3,42,33dd0ebd99c2b8569ee1921e7eff0623,Fungi,244,Cluster 5,Clustered,7.766714082503556,244,0,29.31111111111111,Ostropales,244,0,Ascomycota,45,6.850175250316818E-4,2,FALSE,0,244,26600,0
392,1.6,11.332528099919397,0.074272762,0.18119134531677825,-10,Eurotiomycetes,7.666666666666666,0.625,0.22880371660859466,42,3,42,-2.76E-27,Trichomeriaceae,Trichomeriaceae,36,6,dd3431bbda24b05a6a3e31d09eba9c20,Fungi,374,Cluster 1,Clustered,8.869458128078819,374,0,31.166666666666668,Chaetothyriales,374,0,Ascomycota,42,6.647462884998891E-4,2,FALSE,0,374,3992,0
513,3.6901408450704225,197.23097749788818,1.0539930167059524,3.011736940750938,-71,Dothideomycetes,22.835714285714268,0.27099236641221375,0.19390243902439025,41,7,41,9.623424615475244E-28,Didymellaceae,Epicoccum,37,4,0fe672eceaca4ab22c9bf7dd5235f06e,Fungi,468,Cluster 1,Clustered,8,468,0,28.78048780487805,Pleosporales,468,0,Ascomycota,41,6.715175817692564E-4,2,FALSE,0,468,40331,0
527,1.5555555555555556,72.82504947,0.49442094520302377,0.8127678519694705,-9,Dothideomycetes,7.166666666666666,0.6428571428571428,0.23170731707317074,41,3,41,-1.91E-26,Capnodiales,Capnodiales,35,6,fde743cc68f48f5e4712ddbfebed4db5,Fungi,482,Cluster 1,Clustered,9.687356322,482,0,30.536585365853657,Capnodiales,482,0,Ascomycota,41,6.645254180972422E-4,2,FALSE,0,482,9285,0
