	Kingdom	Phylum	Class	Order	Family	Genus	ASV	ASVNumber	Keystone
1	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Burkholderiales	Alcaligenaceae	Alcaligenaceae	00fcc8aece90513430097df6a5ed9693	1	NonKeystone
2	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Acetobacterales	Acetobacteraceae	Acetobacteraceae	017d41c1827158caf647cd30b7e12320	2	NonKeystone
3	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhizobiales	Rhizobiaceae	Rhizobiaceae	01eb048de56826af7defb3397874e368	3	NonKeystone
4	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Xanthomonadales	Rhodanobacteraceae	Dyella	01fb28edd5708834b33572b6e6554aae	4	NonKeystone
5	Bacteria	 Actinobacteriota	 Actinobacteria	 Micromonosporales	Micromonosporaceae	Actinoplanes	0292564bd1fbde11a44c980bcb6a78e0	5	NonKeystone
6	Bacteria	 Actinobacteriota	 Actinobacteria	 Micrococcales	Micrococcales	Micrococcales	0461e5811cd58a1b663c5a50b0d6d3e3	6	NonKeystone
7	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhizobiales	Beijerinckiaceae	Methylobacterium-Methylorubrum	04ecfad5772d2e09a84a0f5ef460536c	7	NonKeystone
8	Bacteria	 Acidobacteriota	 Acidobacteriae	 Acidobacteriales	Acidobacteriaceae_(Subgroup_1)	Bryocella	0514504356ad4964fd4c29b13370226d	8	NonKeystone
9	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhizobiales	Beijerinckiaceae	Beijerinckiaceae	054440c6f4abc75f0ee808fb39db2299	9	NonKeystone
10	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhizobiales	Rhizobiaceae	Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	06bb3fa895e072e060638ec1131d0d3c	10	NonKeystone
11	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhizobiales	Beijerinckiaceae	Beijerinckiaceae	095d4f88b91691c3e0dc2ed7b4054739	11	NonKeystone
12	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Pseudomonadales	Pseudomonadaceae	Pseudomonas	09ba7f579f2caacfaa810b99631b0aea	12	NonKeystone
13	Bacteria	 Actinobacteriota	 Actinobacteria	 Frankiales	Frankiaceae	Jatrophihabitans	0a893122b20a1f3cc3ba56db475a5cbf	13	NonKeystone
14	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhizobiales	Beijerinckiaceae	Beijerinckiaceae	0c556252aafd66be86bf1f0bcb42dfe9	14	NonKeystone
15	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Acetobacterales	Acetobacteraceae	Acidiphilium	0c64d7b1aecf107cc8d3818c482e6f00	15	NonKeystone
16	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Acetobacterales	Acetobacteraceae	Acidisoma	111d2bc18f9a6ee8f9f3971f73cea54e	16	NonKeystone
