"cooc_method","Edge Betweenness Dir","EdgeBetweenness","interaction","interactionType","Label","name","pval","qval","selected","shared interaction","shared name","weight"
"correl_pearson","0.0","2.0","","copresence","350->458","350->458=correl_pearson","0.0","0.0","false","","350->458=correl_pearson","0.0"
"dist_bray","2.0","2.0","","copresence","350->458","350->458=dist_bray","NaN","NaN","false","","350->458=dist_bray","0.06962025"
"correl_pearson","1.0","2.0","","copresence","211->299","211->299=correl_pearson","0.0","0.0","false","","211->299=correl_pearson","0.0"
"dist_bray","1.0","1.0","","copresence","299->211","299->211=dist_bray","NaN","NaN","false","","299->211=dist_bray","0.08799979"
"correl_pearson","0.0","1.0","","copresence","147->31","147->31=correl_pearson","0.0","0.0","false","","147->31=correl_pearson","0.9959260205439636"
"dist_bray","2.0","1.0","","copresence","147->31","147->31=dist_bray","NaN","NaN","false","","147->31=dist_bray","0.07030133"
"correl_pearson","0.0","1.0","","copresence","118->127","118->127=correl_pearson","0.0","0.0","false","","118->127=correl_pearson","0.0"
"dist_bray","2.0","1.0","","copresence","118->127","118->127=dist_bray","NaN","NaN","false","","118->127=dist_bray","0.04037199"
"correl_pearson","0.0","1.0","","copresence","459->314","459->314=correl_pearson","0.0","0.0","false","","459->314=correl_pearson","0.9993441731252504"
"dist_bray","2.0","1.0","","copresence","459->314","459->314=dist_bray","NaN","NaN","false","","459->314=dist_bray","0.02198155"
"dist_bray","0.0","2.0","","copresence","404->426","404->426=dist_bray","NaN","NaN","false","","404->426=dist_bray","0.09997544"
"correl_pearson","6.0","2.0","","copresence","404->426","404->426=correl_pearson","0.0","0.0","false","","404->426=correl_pearson","0.0"
"dist_bray","0.0","4.0","","copresence","341->500","341->500=dist_bray","NaN","NaN","false","","341->500=dist_bray","0.04276986"
"correl_pearson","2.0","4.0","","copresence","341->500","341->500=correl_pearson","0.0","0.0","false","","341->500=correl_pearson","0.0"
"dist_bray","0.0","1.0","","copresence","103->61","103->61=dist_bray","NaN","NaN","false","","103->61=dist_bray","0.07481636"
"correl_pearson","2.0","1.0","","copresence","103->61","103->61=correl_pearson","0.0","0.0","false","","103->61=correl_pearson","0.9947185069065867"
"correl_pearson","0.0","2.0","","copresence","184->91","184->91=correl_pearson","0.0","0.0","false","","184->91=correl_pearson","0.9998668389289488"
"correl_pearson","0.0","2.0","","copresence","184->38","184->38=correl_pearson","0.0","0.0","false","","184->38=correl_pearson","0.9940504289112088"
"dist_bray","2.0","2.0","","copresence","184->38","184->38=dist_bray","NaN","NaN","false","","184->38=dist_bray","0.06276515"
"dist_bray","2.0","2.0","","copresence","184->91","184->91=dist_bray","NaN","NaN","false","","184->91=dist_bray","0.00903728"
"correl_pearson","0.0","91.0","","copresence","3->2","3->2=correl_pearson","0.0","0.0","false","","3->2=correl_pearson","0.9999938442554158"
"correl_pearson","43.0","91.0","","copresence","3->34","3->34=correl_pearson","0.0","0.0","false","","3->34=correl_pearson","0.0"
"dist_bray","86.0","91.0","","copresence","3->2","3->2=dist_bray","NaN","NaN","false","","3->2=dist_bray","0.00342466"
"correl_pearson","0.0","2.0","","copresence","125->328","125->328=correl_pearson","0.0","0.0","false","","125->328=correl_pearson","0.0"
"dist_bray","2.0","2.0","","copresence","125->328","125->328=dist_bray","NaN","NaN","false","","125->328=dist_bray","0.09854015"
"dist_bray","14.0","22.0","","copresence","287->412","287->412=dist_bray","NaN","NaN","false","","287->412=dist_bray","0.06203428"
"correl_pearson","0.0","99.0","","copresence","371->472","371->472=correl_pearson","0.0","0.0","false","","371->472=correl_pearson","0.0"
"dist_bray","56.0","99.0","","copresence","371->472","371->472=dist_bray","NaN","NaN","false","","371->472=dist_bray","0.05067506"
"correl_pearson","0.0","9.0","","copresence","495->339","495->339=correl_pearson","0.0","0.0","false","","495->339=correl_pearson","0.9939728184637795"
"dist_bray","8.0","9.0","","copresence","495->339","495->339=dist_bray","NaN","NaN","false","","495->339=dist_bray","0.0922547"
"dist_bray","14.0","12.0","","copresence","229->191","229->191=dist_bray","NaN","NaN","false","","229->191=dist_bray","0.09179056"
"dist_bray","0.0","2.0","","copresence","442->294","442->294=dist_bray","NaN","NaN","false","","442->294=dist_bray","0.08194234"
"correl_pearson","2.0","2.0","","copresence","442->294","442->294=correl_pearson","0.0","0.0","false","","442->294=correl_pearson","0.9907406617298599"
"correl_pearson","0.0","1.0","","copresence","227->349","227->349=correl_pearson","0.0","0.0","false","","227->349=correl_pearson","0.0"
"dist_bray","2.0","1.0","","copresence","227->349","227->349=dist_bray","NaN","NaN","false","","227->349=dist_bray","0.0957248"
"dist_bray","1.0","5.0","","copresence","34->2","34->2=dist_bray","NaN","NaN","false","","34->2=dist_bray","0.03225337"
"dist_bray","2.0","5.333333333333333","","copresence","34->3","34->3=dist_bray","NaN","NaN","false","","34->3=dist_bray","0.02882871"
"correl_pearson","46.0","69.0","","copresence","34->185","34->185=correl_pearson","0.0","0.0","false","","34->185=correl_pearson","0.0"
"correl_pearson","68.0","69.0","","copresence","34->36","34->36=correl_pearson","0.0","0.0","false","","34->36=correl_pearson","0.0"
"correl_pearson","5.0","1.5","","copresence","398->483","398->483=correl_pearson","0.0","0.0","false","","398->483=correl_pearson","0.0"
"correl_pearson","5.0","2.5","","copresence","398->515","398->515=correl_pearson","0.0","0.0","false","","398->515=correl_pearson","0.0"
"correl_pearson","69.0","45.33333333333333","","copresence","2->185","2->185=correl_pearson","0.0","0.0","false","","2->185=correl_pearson","0.0"
"correl_pearson","91.0","45.33333333333333","","copresence","2->36","2->36=correl_pearson","0.0","0.0","false","","2->36=correl_pearson","0.0"
"correl_pearson","2.0","1.3333333333333333","","copresence","2->34","2->34=correl_pearson","0.0","0.0","false","","2->34=correl_pearson","0.0"
"dist_bray","1.0","1.0","","copresence","501->305","501->305=dist_bray","NaN","NaN","false","","501->305=dist_bray","0.0255577"
"correl_pearson","1.0","2.0","","copresence","305->501","305->501=correl_pearson","0.0","0.0","false","","305->501=correl_pearson","0.0"
"correl_pearson","1.0","1.0","","copresence","38->91","38->91=correl_pearson","0.0","0.0","false","","38->91=correl_pearson","0.0"
"dist_bray","1.0","3.0","","copresence","91->38","91->38=dist_bray","NaN","NaN","false","","91->38=dist_bray","0.05372787"
"dist_bray","0.0","21.0","","copresence","53->165","53->165=dist_bray","NaN","NaN","false","","53->165=dist_bray","0.09343212"
"correl_pearson","0.0","18.0","","copresence","53->115","53->115=correl_pearson","0.0","0.0","false","","53->115=correl_pearson","0.0"
"dist_bray","4.0","18.0","","copresence","53->115","53->115=dist_bray","NaN","NaN","false","","53->115=dist_bray","0.09615385"
"correl_pearson","10.0","21.0","","copresence","53->165","53->165=correl_pearson","0.0","0.0","false","","53->165=correl_pearson","0.0"
"dist_bray","36.0","13.5","","copresence","53->132","53->132=dist_bray","NaN","NaN","false","","53->132=dist_bray","0.04423565"
