"abundance","ASV","ASVNumber","AverageShortestPathLength","BetweennessCentrality","Class","ClosenessCentrality","ClusteringCoefficient","degree","Eccentricity","EdgeCount","Genus","Indegree","IsSingleNode","Kingdom","Label","name","negdegree","NeighborhoodConnectivity","Order","oriID","Outdegree","PartnerOfMultiEdgedNodePairs","Phylum","posdegree","samplecount","selected","SelfLoops","shared name","Stress","unknowndegree"
"2416.0","Quambalaria","610e947f8b18cdd8d9348138281e7096","2.7142857142857144","2.4142857142857146","Exobasidiomycetes","0.3684210526315789","0.5","8","6","8","Quambalariaceae","3","false","Fungi","392","392","0","5.25","Microstromatales","392","5","4","Basidiomycota","8","2","false","0","392","916","0"
"340.0","Jatrophihabitans","23f9772c4a17bd12b53c1109aeeb44b5","3.142857142857143","2.2253968253968255","Actinobacteria","0.3181818181818182","0.40476190476190477","14","7","14","Frankiaceae","8","false","Bacteria","36","36","0","4.285714285714286","Frankiales","36","6","7","Actinobacteriota","14","2","false","0","36","747","0"
"577.0","Zygosporium","ad2fb02dab42cb48fe1a33ea6c6474c0","1.375","1.1369047619047616","Sordariomycetes","0.7272727272727273","0.35","10","2","10","Xylariaceae","2","false","Fungi","452","452","0","4.6","Xylariales","452","8","5","Ascomycota","10","2","false","0","452","78","0"
"404.0","Acidiphilium","fc7ba28e2168a6e554856b25a1153d79","1.75","0.6369047619047619","Alphaproteobacteria","0.5714285714285714","0.43333333333333335","12","3","12","Acetobacteraceae","7","false","Bacteria","297","297","0","5.0","Acetobacterales","297","5","6","Proteobacteria","12","2","false","0","297","72","0"
"2050.0","Cystostereaceae","13d714e026ea98d39048d46088bbb27e","2.7142857142857144","0.0","Agaricomycetes","0.3684210526315789","0.6666666666666666","8","6","8","Cystostereaceae","1","false","Fungi","323","323","0","5.25","Agaricales","323","7","4","Basidiomycota","8","2","false","0","323","0","0"
"670.0","Sphingomonas","d3352b6112807e0af3deb9ac0aba0112","1.0","0.0","Alphaproteobacteria","1.0","0.8333333333333334","6","1","6","Sphingomonadaceae","1","false","Bacteria","238","238","0","3.0","Sphingomonadales","238","5","3","Proteobacteria","6","2","false","0","238","0","0"
"207.0","Pseudomonas","428e4a80a1e14a59d72810a32f62f434","1.0","0.8333333333333333","Gammaproteobacteria","1.0","0.5","6","1","6","Pseudomonadaceae","3","false","Bacteria","72","72","0","3.0","Pseudomonadales","72","3","3","Proteobacteria","6","2","false","0","72","5","0"
"1148.0","Exophiala","82e152764a1a9203a9ab95de22170a25","1.0","0.0","Eurotiomycetes","1.0","0.0","2","1","2","Herpotrichiellaceae","1","false","Fungi","422","422","0","1.0","Chaetothyriales","422","1","1","Ascomycota","2","2","false","0","422","0","0"
"1322.0","Trichoderma","8202b2f303c60ff8f62f11f62487f88d","1.0","0.0","Sordariomycetes","1.0","0.0","2","1","2","Hypocreaceae","1","false","Fungi","421","421","0","1.0","Hypocreales","421","1","1","Ascomycota","2","7","false","0","421","0","0"
"364.0","Acidisoma","6ec93155a0abc4b1bf2806e1e2e83307","1.8","0.9444444444444445","Alphaproteobacteria","0.5555555555555556","0.3333333333333333","6","3","6","Acetobacteraceae","4","false","Bacteria","115","115","0","2.6666666666666665","Acetobacterales","115","2","3","Proteobacteria","6","5","false","0","115","93","0"
"358.0","Acidisoma","7e2ec3d305fd9eff3eb928becc99b2e9","1.4","1.8833333333333333","Alphaproteobacteria","0.7142857142857143","0.3333333333333333","8","2","8","Acetobacteraceae","5","false","Bacteria","132","132","0","3.0","Acetobacterales","132","3","4","Proteobacteria","8","2","false","0","132","187","0"
"492.0","Penicillium","4fd62a6d1762af80dbab0afb333923a0","1.5","0.0","Eurotiomycetes","0.6666666666666666","0.0","2","2","2","Aspergillaceae","1","false","Fungi","373","373","0","2.0","Eurotiales","373","1","1","Ascomycota","2","6","false","0","373","0","0"
"614.0","Herpotrichiellaceae","de24efa90c417ceca625f76f6bba3a18","1.0","0.5","Eurotiomycetes","1.0","0.0","4","1","4","Herpotrichiellaceae","1","false","Fungi","486","486","0","1.5","Chaetothyriales","486","3","2","Ascomycota","4","3","false","0","486","3","0"
