	Kingdom	Phylum	Class	Order	Family	Genus	ASV	ASVNumber
1	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	0038650a5fd9da4a46ea58900b8c5b68	1
2	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhizobiales	Beijerinckiaceae	Methylobacterium-Methylorubrum	019dbae2126663ddb0710cfa00fccb48	2
3	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhizobiales	Beijerinckiaceae	Methylobacterium-Methylorubrum	04ecfad5772d2e09a84a0f5ef460536c	3
4	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Burkholderiales	Comamonadaceae	Comamonadaceae	0920dcf0f62fb2b3ab9e32f1c4edec37	4
5	Bacteria	 Actinobacteriota	 Thermoleophilia	 Solirubrobacterales	Solirubrobacteraceae	Patulibacter	0a8fdcdeab017a6d5ed17922420f8aaa	5
6	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Enterobacterales	Erwiniaceae	Erwiniaceae	0d32a27c5b6904581b7f21687cc8604a	6
7	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Pseudomonadales	Moraxellaceae	Acinetobacter	0e2e91fba1ca9ed7de2d11ea4786c914	7
8	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Pseudomonadales	Pseudomonadaceae	Pseudomonas	0f18144d308ada95632ab5193d92073f	8
9	Bacteria	 Firmicutes	 Bacilli	 Paenibacillales	Paenibacillaceae	Paenibacillus	166093520348b8c5ef6a4eb79faae728	9
10	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Burkholderiales	Oxalobacteraceae	Massilia	182b329605548d2e9a3fa1c3c218070d	10
11	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Pseudomonadales	Pseudomonadaceae	Pseudomonas	188afc07f7279f942c3c7676f22b8588	11
12	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Pseudomonadales	Pseudomonadaceae	Pseudomonas	1939e1ee0625d2f4bcfb317c08e9d921	12
13	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Pseudomonadales	Pseudomonadaceae	Pseudomonas	1bc599cac5647c5c30496e93ca551557	13
14	Bacteria	 Firmicutes	 Bacilli	 Exiguobacterales	Exiguobacteraceae	Exiguobacterium	1c73e1dd8862b6fdbc044d6e0d9ecc26	14
15	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Burkholderiales	Burkholderiaceae	Robbsia	1ec9fd06c88669eb15764e0b441ade46	15
16	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Sphingomonadales	Sphingomonadaceae	Sphingomonas	1fa19a198819b145e52bb266e4e7840b	16
17	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Pseudomonadales	Pseudomonadaceae	Pseudomonas	281001c160678979d2c908e6946a3380	17
18	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	2a3c0b596c305b29d36183b52f8d2b48	18
19	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Enterobacterales	Erwiniaceae	Pantoea	313ac78d3883be2bd83be76b5546c8f7	19
20	Bacteria	 Actinobacteriota	 Actinobacteria	 Corynebacteriales	Tsukamurellaceae	Tsukamurella	31e139f7528db0f6fa415a3084cb56c9	20
21	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Burkholderiales	Burkholderiaceae	Burkholderia-Caballeronia-Paraburkholderia	31e44a8a214f498a333aa672e33016ec	21
22	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Enterobacterales	Erwiniaceae	Erwinia	352afff5a1677864a65c59b85d999e55	22
