"cooc_method","Edge Betweenness Dir","EdgeBetweenness","interaction","interactionType","Label","method_number","method_scores","methodname_score","name","pval","qval","selected","shared interaction","shared name","weight"
"correl_pearson|dist_bray","4.0","13.0",,"copresence","186->353","2","0.0|0.02803326","","186->353","0.0","0.0","false",,"186->353","2.0"
"correl_pearson|dist_bray","1.0","3.0",,"copresence","45->23","2","0.9991813025846077|0.02850436","","45->23","0.0","0.0","false",,"45->23","2.0"
"correl_pearson|dist_bray","1.0","4.0",,"copresence","183->228","2","0.0|0.02830174","","183->228","0.0","0.0","false",,"183->228","2.0"
"correl_pearson|dist_bray","2.0","12.0",,"copresence","53->300","2","0.0","","53->300","0.0","0.0","false",,"53->300","2.0"
"correl_pearson|dist_bray","1.0","1.0",,"copresence","294->255","2","0.9952922218729136|0.0544627","","294->255","0.0","0.0","false",,"294->255","2.0"
"correl_pearson|dist_bray","4.0","7.0",,"copresence","218->353","2","0.0|0.03177744","","218->353","0.0","0.0","false",,"218->353","2.0"
"correl_pearson|dist_bray","8.0","24.0",,"copresence","183->224","2","0.0|0.01014739","","183->224","0.0","0.0","false",,"183->224","2.0"
"correl_pearson|dist_bray","1.0","1.0",,"copresence","276->326","2","0.0|0.0309414","","276->326","0.0","0.0","false",,"276->326","2.0"
"correl_pearson|dist_bray","1.0","4.0",,"copresence","320->359","2","0.0|0.04109589","","320->359","0.0","0.0","false",,"320->359","2.0"
"correl_pearson|dist_bray","1.0","2.0",,"copresence","79->67","2","0.9940567170785455|0.07388316","","79->67","0.0","0.0","false",,"79->67","2.0"
"correl_pearson|dist_bray","1.0","1.0",,"copresence","352->340","2","0.09120327|0.9892480891295319","","352->340","0.0","0.0","false",,"352->340","2.0"
"correl_pearson|dist_bray","7.0","34.0",,"copresence","62->75","2","0.0","","62->75","0.0","0.0","false",,"62->75","2.0"
"correl_pearson|dist_bray","1.0","1.0",,"copresence","404->284","2","0.999814076505891|0.01432826","","404->284","0.0","0.0","false",,"404->284","2.0"
"correl_pearson|dist_bray","1.0","4.0",,"copresence","117->219","2","0.0|0.07974138","","117->219","0.0","0.0","false",,"117->219","2.0"
"correl_pearson|dist_bray","5.0","32.0",,"copresence","53->100","2","0.0","","53->100","0.0","0.0","false",,"53->100","2.0"
"correl_pearson|dist_bray","6.0","29.5",,"copresence","116->300","2","0.0","","116->300","0.0","0.0","false",,"116->300","2.0"
"correl_pearson|dist_bray","1.0","2.0",,"copresence","416->386","2","0.04965105|0.9968174865557963","","416->386","0.0","0.0","false",,"416->386","2.0"
"correl_pearson|dist_bray","1.0","2.0",,"copresence","171->170","2","0.9999962109773514|0.00140341","","171->170","0.0","0.0","false",,"171->170","2.0"
"correl_pearson|dist_bray","1.0","1.0",,"copresence","385->295","2","0.9989727629526663|0.02803803","","385->295","0.0","0.0","false",,"385->295","2.0"
"correl_pearson|dist_bray","1.0","2.0",,"copresence","134->125","2","0.9998737644064863|0.00816993","","134->125","0.0","0.0","false",,"134->125","2.0"
"correl_pearson|dist_bray","1.0","1.0",,"copresence","193->205","2","0.0|0.04169486","","193->205","0.0","0.0","false",,"193->205","2.0"
"correl_pearson|dist_bray","1.0","5.0",,"copresence","295->359","2","0.0|0.01681967","","295->359","0.0","0.0","false",,"295->359","2.0"
"correl_pearson|dist_bray","6.0","14.0",,"copresence","224->264","2","0.0|0.06303964","","224->264","0.0","0.0","false",,"224->264","2.0"
"correl_pearson|dist_bray","3.0","21.5",,"copresence","100->116","2","0.0","","100->116","0.0","0.0","false",,"100->116","2.0"
"correl_pearson|dist_bray","2.0","3.0",,"copresence","350->418","2","0.0|0.05759086","","350->418","0.0","0.0","false",,"350->418","2.0"
"correl_pearson|dist_bray","3.0","17.5",,"copresence","100->111","2","0.0","","100->111","0.0","0.0","false",,"100->111","2.0"
"correl_pearson|dist_bray","5.0","13.0",,"copresence","353->348","2","0.998331974250228|0.03324898","","353->348","0.0","0.0","false",,"353->348","2.0"
"correl_pearson|dist_bray","2.0","8.0",,"copresence","135->228","2","0.0|0.01321241","","135->228","0.0","0.0","false",,"135->228","2.0"
"correl_pearson|dist_bray","1.0","3.0",,"copresence","429->433","2","0.0|0.03740038","","429->433","0.0","0.0","false",,"429->433","2.0"
"correl_pearson|dist_bray","5.0","15.0",,"copresence","32->300","2","0.0","","32->300","0.0","0.0","false",,"32->300","2.0"
"correl_pearson|dist_bray","2.0","8.0",,"copresence","243->282","2","0.0|0.07258065","","243->282","0.0","0.0","false",,"243->282","2.0"
"correl_pearson|dist_bray","1.0","4.0",,"copresence","445->296","2","0.9857227572344893|0.09257376","","445->296","0.0","0.0","false",,"445->296","2.0"
"correl_pearson|dist_bray","12.0","51.5",,"copresence","111->300","2","0.0","","111->300","0.0","0.0","false",,"111->300","2.0"
"correl_pearson|dist_bray","4.0","7.5",,"copresence","264->208","2","0.9946867733088766|0.05322035","","264->208","0.0","0.0","false",,"264->208","2.0"
"correl_pearson|dist_bray","2.0","2.0",,"copresence","87->350","2","0.0|0.08697032","","87->350","0.0","0.0","false",,"87->350","2.0"
"correl_pearson|dist_bray","4.0","19.5",,"copresence","248->208","2","0.9979764430641136|0.03253775","","248->208","0.0","0.0","false",,"248->208","2.0"
"correl_pearson|dist_bray","1.0","1.0",,"copresence","20->444","2","0.0|0.08920188","","20->444","0.0","0.0","false",,"20->444","2.0"
"correl_pearson|dist_bray","1.0","8.0",,"copresence","53->34","2","0.0|0.9999999999999996","","53->34","0.0","0.0","false",,"53->34","2.0"
"correl_pearson|dist_bray","1.0","1.0",,"copresence","71->102","2","0.0|0.09793445","","71->102","0.0","0.0","false",,"71->102","2.0"
"correl_pearson|dist_bray","1.0","4.0",,"copresence","445->329","2","0.07670838|0.9903717773914203","","445->329","0.0","0.0","false",,"445->329","2.0"
"correl_pearson|dist_bray","1.0","3.0",,"copresence","234->295","2","0.0|0.04716885","","234->295","0.0","0.0","false",,"234->295","2.0"
"correl_pearson|dist_bray","2.0","12.0",,"copresence","53->30","2","0.0|0.9999999999999998","","53->30","0.0","0.0","false",,"53->30","2.0"
"correl_pearson|dist_bray","1.0","2.0",,"copresence","210->410","2","0.0|0.07260201","","210->410","0.0","0.0","false",,"210->410","2.0"
"correl_pearson|dist_bray","1.0","1.0",,"copresence","137->391","2","0.0|0.08646921","","137->391","0.0","0.0","false",,"137->391","2.0"
"correl_pearson|dist_bray","1.0","1.0",,"copresence","86->437","2","0.0|0.01976831","","86->437","0.0","0.0","false",,"86->437","2.0"
"correl_pearson|dist_bray","6.0","14.0",,"copresence","224->248","2","0.0|0.04235704","","224->248","0.0","0.0","false",,"224->248","2.0"
"correl_pearson|dist_bray","1.0","1.0",,"copresence","387->197","2","0.0867449|0.9860250654539107","","387->197","0.0","0.0","false",,"387->197","2.0"
"correl_pearson|dist_bray","1.0","4.0",,"copresence","320->295","2","0.04109589|0.9974983280883937","","320->295","0.0","0.0","false",,"320->295","2.0"
"correl_pearson|dist_bray","1.0","4.0",,"copresence","441->345","2","0.9966767780932756|0.05292627","","441->345","0.0","0.0","false",,"441->345","2.0"
