abundance,AverageShortestPathLength,Betweenness Dir,BetweennessCentrality,Bridging Dir,Centroid Dir,Class,Closeness Dir,ClosenessCentrality,ClusteringCoefficient,degree,Eccentricity,EdgeCount,EigenVector Dir,Family,Genus,Indegree,IsSingleNode,Kingdom,Label,MCODE::Clusters (1),MCODE::Node Status (1),MCODE::Score (1),name,negdegree,NeighborhoodConnectivity,Order,oriID,Outdegree,PartnerOfMultiEdgedNodePairs,Phylum,posdegree,Radiality Dir,samplecount,selected,SelfLoops,shared name,Species,Stress,unknowndegree
326,1.5,1,0.41666666666666663,0.6000000000000001,-2,Sordariomycetes,1.5,0.6666666666666666,0,2,2,2,1.9219150585194194E-134,Chaetosphaeriaceae,Chaetosphaeriaceae,1,FALSE,Fungi,186,,Unclustered,0.6666666666666666,186,0,2.5,Chaetosphaeriales,186,1,0,Ascomycota,2,0.00168492,2,FALSE,0,186,2f2b82f0ad8492580c56895a1702490e,10,0
605,1,3,0.8333333333333333,0.5,-1,Dothideomycetes,1,1,0,3,1,3,2.0158611956075754E-291,Aureobasidiaceae,Aureobasidium,2,FALSE,Fungi,353,,Unclustered,0.5,353,0,1.6666666666666667,Dothideales,353,1,0,Ascomycota,3,0.001683502,3,FALSE,0,353,a66f0ef2c13257e1904b0290771dfc94,15,0
284,1,0,0,0,-2,Gammaproteobacteria,2,1,0.5,2,1,2,-1.72E-294,Yersiniaceae,Yersiniaceae,0,FALSE,Bacteria,45,Cluster 5,Clustered,2,45,0,2.5,Enterobacterales,45,2,0,Proteobacteria,2,0.001686341,2,FALSE,0,45,63afe8e6aac58bf0d670a82ca5bc574c,0,0
126,0,0,0,0,0,Gammaproteobacteria,0,0,0.16666666666666666,3,0,3,9.25750316315356E-305,Enterobacterales,Enterobacterales,3,FALSE,Bacteria,23,Cluster 5,Clustered,2,23,0,1.6666666666666667,Enterobacterales,23,0,0,Proteobacteria,3,0.001680672,2,FALSE,0,23,3b94c19ef326eea0918e1c3d244c999c,0,0
315,2,0,0,0,-7,Sordariomycetes,4.166666666666666,0.5,0,2,3,2,1.2242433994213815E-118,Cryphonectriaceae,Cryphonectriaceae,0,FALSE,Fungi,183,,Unclustered,0.6666666666666666,183,0,3.5,Diaporthales,183,2,0,Ascomycota,2,0.001692525,2,FALSE,0,183,2de6b1038e48ef328ca5ad96f881eb97,0,0
412,0,0,0,0,0,Sordariomycetes,0,0,0,3,0,3,7.9932332139607E-310,Bartaliniaceae,Bartaliniaceae,3,FALSE,Fungi,228,,Unclustered,0.5,228,0,2.3333333333333335,Xylariales,228,0,0,Ascomycota,3,0.001680672,2,FALSE,0,228,4d2a077848d31fb908c2d6b55a1d3f18,0,0
54,1.5,0,0,0,-8,Gammaproteobacteria,6,0.6666666666666666,0.083333333,4,2,4,2.8486671437719303E-123,Yersiniaceae,Serratia,0,FALSE,Bacteria,53,Cluster 3,Clustered,2,53,0,4,Enterobacterales,53,4,0,Proteobacteria,4,0.001697793,1,FALSE,0,53,82dece6e35540738ba450a0c3a90b5a0,0,0
301,2,15.5,0.875,1.3285714285714287,-4,Dothideomycetes,2.333333333333333,0.5,0,5,3,5,9.713335075394345E-258,Pleosporaceae,Bipolaris,4,FALSE,Fungi,300,,Unclustered,0.3333333333333333,300,0,2.8,Pleosporales,300,1,0,Ascomycota,5,0.001687289,1,FALSE,0,300,82e17ed2c2b1107a25be0f58324e4b80,67,0
414,1,0,0,0,-1,Dothideomycetes,1,1,0,1,1,1,0.7071067811865475,Cladosporiaceae,Cladosporium,0,FALSE,Fungi,294,,Unclustered,0,294,0,1,Capnodiales,294,1,0,Ascomycota,1,0.001683502,2,FALSE,0,294,80ef78d33ddc3a5a1292df1c5002e265,0,0
389,0,0,0,0,0,Dothideomycetes,0,0,0,1,0,1,-1.42E-297,Didymellaceae,Epicoccum,1,FALSE,Fungi,255,,Unclustered,0,255,0,1,Pleosporales,255,0,0,Ascomycota,1,0.001680672,2,FALSE,0,255,5fe5f08bf237874637a1235c88d32fb6,0,0
355,1.5,1,0.41666666666666663,0.6000000000000001,-2,Dothideomycetes,1.5,0.6666666666666666,0,2,2,2,-6.99E-275,Phaeosphaeriaceae,Phaeosphaeria,1,FALSE,Fungi,218,,Unclustered,0.6666666666666666,218,0,2.5,Pleosporales,218,1,0,Ascomycota,2,0.00168492,2,FALSE,0,218,46880d8c22e57c0a977617044710085e,10,0
392,1.5,5,0.47619047619047616,0.7500000000000001,-6,Dothideomycetes,4.5,0.6666666666666666,0,4,2,4,1.223479252466512E-61,Capnodiales,Capnodiales,1,FALSE,Fungi,224,Cluster 7,Clustered,0.4,224,0,2.5,Capnodiales,224,3,0,Ascomycota,4,0.00169348,2,FALSE,0,224,4b1bc7c1a9ba858698ad5018094dd64f,28,0
777,1,0,0,0,-1,Dothideomycetes,1,1,0,1,1,1,5.172093699466209E-242,Pleosporales,Pleosporales,0,FALSE,Fungi,276,,Unclustered,0,276,0,1,Pleosporales,276,1,0,Ascomycota,1,0.001683502,2,FALSE,0,276,6ebcfc2e3e5fd6f83b4d7aeaf32d0d3a,0,0
844,0,0,0,0,0,Eurotiomycetes,0,0,0,1,0,1,2.607358654041017E-96,Phaeomoniellaceae,Neophaeomoniella,1,FALSE,Fungi,326,,Unclustered,0,326,0,1,Phaeomoniellales,326,0,0,Ascomycota,1,0.001680672,2,FALSE,0,326,90e05d3333926ee8560b9c5a503b467c,0,0
438,1,0,0,0,-3,Dothideomycetes,3,1,0.5,4,1,4,3.8557353687085334E-289,Pleosporaceae,Alternaria,1,FALSE,Fungi,320,Cluster 1,Clustered,4,320,0,4,Pleosporales,320,3,0,Ascomycota,4,0.001689189,3,TRUE,0,320,8db8250d0690f4b531ec9ea09c1dfeaa,0,0
478,0,0,0,0,0,Dothideomycetes,0,0,0.5,4,0,4,3.140229674699837E-295,Didymellaceae,Epicoccum,4,FALSE,Fungi,359,Cluster 1,Clustered,4,359,0,4,Pleosporales,359,0,0,Ascomycota,4,0.001680672,2,TRUE,0,359,ac496f47d9560a983ad3cb498997dddf,0,0
240,1,0,0,0,-1,Actinobacteria,1,1,0,1,1,1,2.7566603421812765E-103,Nocardiaceae,Williamsia,0,FALSE,Bacteria,79,,Unclustered,0,79,0,1,Corynebacteriales,79,1,0,Actinobacteriota,1,0.001683502,2,FALSE,0,79,ab530a2ac42796a94172e3cb293c4af4,0,0
194,0,0,0,0,0,Gammaproteobacteria,0,0,0,1,0,1,0,Enterobacteriaceae,Enterobacteriaceae,1,FALSE,Bacteria,67,,Unclustered,0,67,0,1,Enterobacterales,67,0,0,Proteobacteria,1,0.001680672,3,FALSE,0,67,9664cae1104ed11cba60a2552c35cae7,0,0
1724,1,0,0,0,-1,Dothideomycetes,1,1,0,1,1,1,2.7607550461188443E-290,Teichosporaceae,Teichospora,0,FALSE,Fungi,352,,Unclustered,0,352,0,1,Pleosporales,352,1,0,Ascomycota,1,0.001683502,2,FALSE,0,352,a5e795a11b9c0a0f0d7aed60d57cbcf5,0,0
3003,0,0,0,0,0,Dothideomycetes,0,0,0,1,0,1,9.715494003340783E-291,Didymellaceae,Epicoccum,1,FALSE,Fungi,340,,Unclustered,0,340,0,1,Pleosporales,340,0,0,Ascomycota,1,0.001680672,4,FALSE,0,340,9c6fe943e913c7ed2b88a61d6b5bb7b8,0,0
63,1.75,14,0.9027777777777777,3.0434782608695654,-4,Gammaproteobacteria,2.8333333333333335,0.5714285714285714,0.083333333,4,3,4,1.6527303386712625E-274,Pseudomonadaceae,Pseudomonas,2,FALSE,Bacteria,62,Cluster 3,Clustered,2,62,0,4,Pseudomonadales,62,2,0,Proteobacteria,4,0.001688714,1,FALSE,0,62,9008764305469acb079f239b4f29a8f0,65,0
76,0,0,0,0,0,Gammaproteobacteria,0,0,0.5,2,0,2,9.223374181800041E-290,Pseudomonadaceae,Pseudomonas,2,FALSE,Bacteria,75,Cluster 3,Clustered,2,75,0,4.5,Pseudomonadales,75,0,0,Proteobacteria,2,0.001680672,1,FALSE,0,75,a76731f2a4d41abe2c39c897417ee5be,0,0
6673,1,0,0,0,-1,Dothideomycetes,1,1,0,1,1,1,5.172093699466209E-242,Phaeosphaeriaceae,Phaeosphaeriaceae,0,FALSE,Fungi,404,,Unclustered,0,404,0,1,Pleosporales,404,1,0,Ascomycota,1,0.001683502,2,FALSE,0,404,d1dc43e8749c4e087c12f05589894346,0,0
6147,0,0,0,0,0,Dothideomycetes,0,0,0,1,0,1,1.3364234894648424E-290,Pleosporaceae,Curvularia,1,FALSE,Fungi,284,,Unclustered,0,284,0,1,Pleosporales,284,0,0,Ascomycota,1,0.001680672,4,FALSE,0,284,78380f34b0cc0fe75299bc0ad51932da,0,0
233,1,0,0,0,-1,Alphaproteobacteria,1,1,0,1,1,1,4.376924140364245E-196,Beijerinckiaceae,Beijerinckiaceae,0,FALSE,Bacteria,117,,Unclustered,0,117,0,2,Rhizobiales,117,1,0,Proteobacteria,1,0.001683502,2,FALSE,0,117,fbfc4f21c44d1d884b79e1e06505a8cd,0,0
464,0,0,0,0,0,Dothideomycetes,0,0,0,2,0,2,-4.74E-290,Didymellaceae,Didymellaceae,2,FALSE,Fungi,219,,Unclustered,0.6666666666666666,219,0,1.5,Pleosporales,219,0,0,Ascomycota,2,0.001680672,4,FALSE,0,219,474ff99d47d8a06fd5a3d5897a57331f,0,0
101,1.3333333333333333,3,0.3333333333333333,0.32727272727272727,-6,Gammaproteobacteria,5,0.75,0.05,5,2,5,1.9219150585194194E-134,Enterobacteriaceae,Enterobacteriaceae,1,FALSE,Bacteria,100,Cluster 3,Clustered,2,100,0,3,Enterobacterales,100,4,0,Proteobacteria,5,0.001694915,1,FALSE,0,100,d7e8405ccf6f52110d82c4645d9116d3,32,0
117,2.6,0.5,0.0625,0.625,-5,Gammaproteobacteria,2.4166666666666665,0.3846153846153846,0,2,4,2,-1.65E-274,Halomonadaceae,Kushneria,1,FALSE,Bacteria,116,,Unclustered,0.6666666666666666,116,0,5,Oceanospirillales,116,1,0,Proteobacteria,2,0.001687526,1,FALSE,0,116,f718c1a342e852e91c9bb983501d9df2,9,0
572,1.5,0,0,0,-4,Dothideomycetes,3,0.6666666666666666,0,2,2,2,9.713335075394345E-258,Botryosphaeriaceae,Botryosphaeria,0,FALSE,Fungi,416,,Unclustered,0.6666666666666666,416,0,2,Botryosphaeriales,416,2,0,Ascomycota,2,0.001689189,2,FALSE,0,416,de39948a0a9d4a7c81e928a89c43820c,0,0
497,0,0,0,0,0,Microbotryomycetes,0,0,0,1,0,1,-2.12E-122,Sporidiobolaceae,Rhodotorula,1,FALSE,Fungi,386,,Unclustered,0,386,0,2,Sporidiobolales,386,0,0,Basidiomycota,1,0.001680672,2,FALSE,0,386,c1696768f1fb5f80b94fbf0d4b825bc0,0,0
288,1,0,0,0,-1,Sordariomycetes,1,1,0.5,2,1,2,4.798006815320804E-292,Xylariales_fam_Incertae_sedis,Hansfordia,1,FALSE,Fungi,171,Cluster 6,Clustered,2,171,0,2,Xylariales,171,1,0,Ascomycota,2,0.001683502,2,FALSE,0,171,229c5ae12893f07b25e279446e26f110,0,0
