#OTUID	S162_NSW1092531_FWD16	S163_NSW1092542_FWD16	S164_NSW1092537_FWD16	S165_NSW1092532_FWD16	S166_NSW1092615_FWD16	S167_NSW1092620_FWD16	S168_NSW1092618_FWD16	S184_NSW1092491_FWD10	S185_NSW1092492_FWD10	S186_NSW1092493_FWD10	S187_NSW1092494_FWD10	S188_NSW1092496_FWD10	S189_NSW1092498_FWD10	S19_NSW1092584_FWD17	S190_NSW1092499_FWD10	S199_NSW1092638_FWD11	S20_NSW1092634_FWD17	S200_NSW1092639_FWD11	S201_NSW1092640_FWD11	S202_NSW1092643_FWD11	S203_NSW1092649_FWD11	S204_NSW1092644_FWD11	S205_NSW1092645_FWD11	S206_NSW1092648_FWD11	S22_NSW1092495_FWD17	S397_16S	S398_16S	S399_16S	S400_16S	S401_16S	S402_16S	S403_16S	S404_16S	S405_16S	S406_16S	S407_16S	S408_16S	S409_16S	S410_16S	S411_16S	S412_16S	S413_16S	S414_16S	S415_16S	S416_16S	S417_16S	S418_16S	S419_16S	S420_16S	S421_16S	S422_16S	S423_16S	S424_16S	S425_16S	S426_16S	S427_16S	S428_16S
1	0	0	0	0	0	0	0	0	0	0	0	0	0	65	0	0	0	0	0	12	0	0	0	0	205	309	90	292	92	305	233	623	140	0	0	91	13	0	0	0	0	0	0	0	0	0	0	0	0	73	45	60	0	25	61	47	57
2	0	13	88	0	0	0	0	9	0	10	37	41	14	956	11	0	0	0	21	0	0	0	0	0	82	8	26	112	27	37	42	53	17	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	12	20	0	12	10	0	8
3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	87	241	0	0	0	354	0	0
4	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	98	0	0	0	0	0	0	29	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	0	0	0	0	0	0	0	0	10	0	5	22	82	0	0	0	0	22	16	0	0	0	0	0	67	0	0	16	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	362	0	0	0	14	34	29	151
6	25	0	31	0	0	0	0	0	0	0	0	47	65	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	56	0	88	816	41	51	48	0	0	0	0	0	73	0	0	0	0	0	18	0	0	0	0	0	0	232	0	0	0	29	0	0	0	912	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	0	0	0	0	0	0	0	0	25	229	156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	243	152	517	254	226	49	217	124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	293	981	139	17	15	86	0	156
9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73	631	0	0	131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	388	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	6	11	59	77	61	29	202	82	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	24
12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13	0	0	0	0	0	0	0	0	20	0	0	0	82	0	0	0	0	0	11	36	0	0	0	0	16	50	1366	5235	486	537	13	35	5216	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	855	4791	766	30	1662	2535	263	20937
14	0	0	41	0	82	0	0	0	0	0	69	0	0	504	0	0	0	0	0	0	162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75	0	0	0	9	1237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15	504	1561	696	1203	0	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	0	0	0	0	107	0	20	0	0	79	0	0	0	0	0	57	0	0	0	0	0	0	0	0	0	0	0	0
16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18	0	0	0	0	0	0	0	0	0	0	0	0	0	172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	78	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19	0	42	81	0	0	0	0	0	0	0	159	0	11	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0
20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	212	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21	0	0	0	0	0	0	0	0	0	0	0	0	0	199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22	0	0	0	0	0	0	0	0	102	0	0	0	1006	0	0	0	0	0	0	0	0	0	0	0	0	0	402	4485	5795	0	7	0	10	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	10	0	0	0
23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29123	182	723	184	25	0	0	9	27	0	0	0	0	0	0	0
24	0	0	0	21	0	0	0	0	0	0	0	0	816	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	175	86	262	146	265	62	298	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26	764	1131	0	2469	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
27	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	605	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28	217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	18	147	0	474	36	179	36	15	164	8	0	0	0	18	549	0	0	14	0	44	0	11	0	0	31	0	0	0	0	9	0
29	0	0	0	0	20	0	10	0	0	0	0	25	0	0	13	0	0	10	0	15	0	0	0	140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	30	0	45	229	240	0	115	15	0	25	10	0	0	0	32	92	0	0	8	0	0	0	0	0	0	19	10	0	5	0	0	0
31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
32	0	0	0	0	0	0	0	0	0	0	972	0	0	0	0	0	0	0	0	0	508	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
33	2116	2113	1757	767	747	690	1922	0	909	1596	2806	8102	366	279	163	0	1194	20	67	30	2424	78	8	0	786	158	554	10941	846	2034	93	3773	1522	12	728	1287	77	0	55	0	339	6	44	0	0	0	0	0	0	21395	13253	3440	8	9550	4001	3639	6812
