	Kingdom	Phylum	Class	Order	Family	Genus	ASV	ASVNumber
1	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhizobiales	Beijerinckiaceae	Methylobacterium-Methylorubrum	019dbae2126663ddb0710cfa00fccb48	1
2	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhizobiales	Beijerinckiaceae	Methylobacterium-Methylorubrum	04ecfad5772d2e09a84a0f5ef460536c	2
3	Bacteria	 Firmicutes	 Bacilli	 Paenibacillales	Paenibacillaceae	Paenibacillus	05347ae1ea32b8cd62ff9dda53a273c3	3
4	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Burkholderiales	Comamonadaceae	Comamonadaceae	0920dcf0f62fb2b3ab9e32f1c4edec37	4
5	Bacteria	 Actinobacteriota	 Thermoleophilia	 Solirubrobacterales	Solirubrobacteraceae	Patulibacter	0a8fdcdeab017a6d5ed17922420f8aaa	5
6	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Burkholderiales	Oxalobacteraceae	Massilia	0c5d2114ee9993714e590b3f7cb4e9ef	6
7	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Pseudomonadales	Pseudomonadaceae	Pseudomonas	0f18144d308ada95632ab5193d92073f	7
8	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Sphingomonadales	Sphingomonadaceae	Sphingomonas	10afda2baef44de4c584a6641de399b1	8
9	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Burkholderiales	Comamonadaceae	Aquabacterium	12f0627b0f930aff1182481eb84cbc7d	9
10	Bacteria	 Bacteroidota	 Bacteroidia	 Sphingobacteriales	Sphingobacteriaceae	Mucilaginibacter	13ad238ff80cde86ce862692d31236d7	10
11	Bacteria	 Actinobacteriota	 Actinobacteria	 Frankiales	Geodermatophilaceae	Klenkia	146195f72933e590d98b89c38d6eda33	11
12	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhizobiales	Beijerinckiaceae	Bosea	14fc565ddab9a3669737f819389be32f	12
13	Bacteria	 Firmicutes	 Bacilli	 Paenibacillales	Paenibacillaceae	Paenibacillus	166093520348b8c5ef6a4eb79faae728	13
14	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Pseudomonadales	Pseudomonadaceae	Pseudomonas	188afc07f7279f942c3c7676f22b8588	14
15	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Pseudomonadales	Pseudomonadaceae	Pseudomonas	1bc599cac5647c5c30496e93ca551557	15
16	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Burkholderiales	Comamonadaceae	Comamonadaceae	1e1178f3163cc9169597e95ff04f6ec6	16
17	Bacteria	 Bacteroidota	 Bacteroidia	 Cytophagales	Spirosomaceae	Dyadobacter	1ebf3c81b9f872f5a309a1a08ab97d1a	17
18	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Burkholderiales	Burkholderiaceae	Robbsia	1ec9fd06c88669eb15764e0b441ade46	18
