"cooc_method","Edge Betweenness Dir","interaction","interactionType","Label","method_number","method_scores","methodname_score","name","pval","qval","selected","shared interaction","shared name","weight"
"correl_pearson|dist_bray","9.0",,"copresence","545->344","2","0.9995706041345268|0.02846975","","545->344","0.0","0.0","false",,"545->344","2.0"
"correl_pearson|dist_bray","245.0",,"copresence","344->501","2","0.0","","344->501","0.0","0.0","false",,"344->501","2.0"
"correl_pearson|dist_bray","7.0",,"copresence","307->344","2","0.0","","307->344","0.0","0.0","false",,"307->344","2.0"
"correl_pearson|dist_bray","1.0",,"copresence","634->594","2","0.9943601421640199|0.09574468","","634->594","0.0","0.0","false",,"634->594","2.0"
"correl_pearson|dist_bray","9.0",,"copresence","298->659","2","0.0","","298->659","0.0","0.0","false",,"298->659","2.0"
"correl_pearson|dist_bray","539.0",,"copresence","451->594","2","0.0|0.09574468","","451->594","0.0","0.0","false",,"451->594","2.0"
"correl_pearson|dist_bray","9.0",,"copresence","634->709","2","0.0|0.00936037","","634->709","0.0","0.0","false",,"634->709","2.0"
"correl_pearson|dist_bray","4.0",,"copresence","265->439","2","0.0|0.03719912","","265->439","0.0","0.0","false",,"265->439","2.0"
"correl_pearson|dist_bray","4271.0",,"copresence","709->678","2","0.0|0.9999999999999942","","709->678","0.0","0.0","false",,"709->678","2.0"
"correl_pearson|dist_bray","6.0",,"copresence","207->501","2","0.0","","207->501","0.0","0.0","false",,"207->501","2.0"
"correl_pearson|dist_bray","5.0",,"copresence","450->517","2","0.0|0.04251386","","450->517","0.0","0.0","false",,"450->517","2.0"
"correl_pearson|dist_bray","5.0",,"copresence","634->622","2","0.00936037|0.9999553618404012","","634->622","0.0","0.0","false",,"634->622","2.0"
"correl_pearson|dist_bray","14.0",,"copresence","307->639","2","0.0","","307->639","0.0","0.0","false",,"307->639","2.0"
"correl_pearson|dist_bray","3.0",,"copresence","638->439","2","0.03719912|0.999526847014048","","638->439","0.0","0.0","false",,"638->439","2.0"
"correl_pearson|dist_bray","1.0",,"copresence","637->439","2","0.03719912|0.9995268470140469","","637->439","0.0","0.0","false",,"637->439","2.0"
"correl_pearson|dist_bray","4.0",,"copresence","298->439","2","0.0|0.03719912","","298->439","0.0","0.0","false",,"298->439","2.0"
"correl_pearson|dist_bray","11.0",,"copresence","265->243","2","0.0|0.9999999999999971","","265->243","0.0","0.0","false",,"265->243","2.0"
"correl_pearson|dist_bray","96.0",,"copresence","323->501","2","0.0","","323->501","0.0","0.0","false",,"323->501","2.0"
"correl_pearson|dist_bray","39.0",,"copresence","307->634","2","0.0|0.00936037","","307->634","0.0","0.0","false",,"307->634","2.0"
"correl_pearson|dist_bray","25.0",,"copresence","747->323","2","0.0|0.9999999999999979","","747->323","0.0","0.0","false",,"747->323","2.0"
"correl_pearson|dist_bray","4.0",,"copresence","637->435","2","0.0|0.9999999999999989","","637->435","0.0","0.0","false",,"637->435","2.0"
"correl_pearson|dist_bray","9.0",,"copresence","298->243","2","0.0|0.9999999999999973","","298->243","0.0","0.0","false",,"298->243","2.0"
"correl_pearson|dist_bray","421.0",,"copresence","207->450","2","0.0","","207->450","0.0","0.0","false",,"207->450","2.0"
"correl_pearson|dist_bray","15.0",,"copresence","545->501","2","0.02846975|0.9995706041345297","","545->501","0.0","0.0","false",,"545->501","2.0"
"correl_pearson|dist_bray","12.0",,"copresence","458->517","2","0.0|0.04251386","","458->517","0.0","0.0","false",,"458->517","2.0"
"correl_pearson|dist_bray","82.0",,"copresence","545->709","2","0.0|0.02846975","","545->709","0.0","0.0","false",,"545->709","2.0"
"correl_pearson|dist_bray","5.0",,"copresence","741->357","2","0.00934579|0.9999555021154549","","741->357","0.0","0.0","false",,"741->357","2.0"
"correl_pearson|dist_bray","35.0",,"copresence","634->323","2","0.00936037|0.9999553618403977","","634->323","0.0","0.0","false",,"634->323","2.0"
"correl_pearson|dist_bray","15.0",,"copresence","307->289","2","0.0|0.9999999999999987","","307->289","0.0","0.0","false",,"307->289","2.0"
"correl_pearson|dist_bray","730.0",,"copresence","451->441","2","0.0|0.999999999999996","","451->441","0.0","0.0","false",,"451->441","2.0"
"correl_pearson|dist_bray","14.0",,"copresence","357->234","2","0.0|0.9999999999999947","","357->234","0.0","0.0","false",,"357->234","2.0"
"correl_pearson|dist_bray","100.0",,"copresence","265->517","2","0.0|0.04251386","","265->517","0.0","0.0","false",,"265->517","2.0"
"correl_pearson|dist_bray","79.0",,"copresence","265->234","2","0.0|0.9999999999999962","","265->234","0.0","0.0","false",,"265->234","2.0"
"correl_pearson|dist_bray","23.0",,"copresence","198->265","2","0.0","","198->265","0.0","0.0","false",,"198->265","2.0"
"correl_pearson|dist_bray","17.0",,"copresence","298->517","2","0.0|0.04251386","","298->517","0.0","0.0","false",,"298->517","2.0"
"correl_pearson|dist_bray","82.0",,"copresence","265->594","2","0.0|0.09574468","","265->594","0.0","0.0","false",,"265->594","2.0"
"correl_pearson|dist_bray","15.0",,"copresence","298->594","2","0.0|0.09574468","","298->594","0.0","0.0","false",,"298->594","2.0"
"correl_pearson|dist_bray","6.0",,"copresence","450->659","2","0.0","","450->659","0.0","0.0","false",,"450->659","2.0"
"correl_pearson|dist_bray","27.0",,"copresence","307->545","2","0.0|0.02846975","","307->545","0.0","0.0","false",,"307->545","2.0"
"correl_pearson|dist_bray","15.0",,"copresence","747->545","2","0.9995706041345285|0.02846975","","747->545","0.0","0.0","false",,"747->545","2.0"
"correl_pearson|dist_bray","8.0",,"copresence","450->243","2","0.0|0.9999999999999987","","450->243","0.0","0.0","false",,"450->243","2.0"
"correl_pearson|dist_bray","138.0",,"copresence","265->357","2","0.0","","265->357","0.0","0.0","false",,"265->357","2.0"
"correl_pearson|dist_bray","436.0",,"copresence","451->517","2","0.0|0.04251386","","451->517","0.0","0.0","false",,"451->517","2.0"
"correl_pearson|dist_bray","5.0",,"copresence","741->638","2","0.9999555021154525|0.00934579","","741->638","0.0","0.0","false",,"741->638","2.0"
"correl_pearson|dist_bray","147.0",,"copresence","441->594","2","0.0|0.09574468","","441->594","0.0","0.0","false",,"441->594","2.0"
"correl_pearson|dist_bray","4.0",,"copresence","243->439","2","0.0|0.03719912","","243->439","0.0","0.0","false",,"243->439","2.0"
"correl_pearson|dist_bray","12.0",,"copresence","289->671","2","0.0","","289->671","0.0","0.0","false",,"289->671","2.0"
"correl_pearson|dist_bray","3.0",,"copresence","747->671","2","0.0|0.9999999999999988","","747->671","0.0","0.0","false",,"747->671","2.0"
"correl_pearson|dist_bray","4.0",,"copresence","747->638","2","0.0|0.9999999999999998","","747->638","0.0","0.0","false",,"747->638","2.0"
"correl_pearson|dist_bray","42.0",,"copresence","451->439","2","0.03719912|0.9995268470140423","","451->439","0.0","0.0","false",,"451->439","2.0"
"correl_pearson|dist_bray","2.0",,"copresence","435->439","2","0.0|0.03719912","","435->439","0.0","0.0","false",,"435->439","2.0"
"correl_pearson|dist_bray","23.0",,"copresence","207->357","2","0.0","","207->357","0.0","0.0","false",,"207->357","2.0"
"correl_pearson|dist_bray","5.0",,"copresence","637->639","2","0.0","","637->639","0.0","0.0","false",,"637->639","2.0"
"correl_pearson|dist_bray","1.0",,"copresence","727->709","2","0.0|0.9999999999999989","","727->709","0.0","0.0","false",,"727->709","2.0"
"correl_pearson|dist_bray","12.0",,"copresence","747->458","2","0.0|0.9999999999999967","","747->458","0.0","0.0","false",,"747->458","2.0"
"correl_pearson|dist_bray","86.0",,"copresence","323->234","2","0.0|0.9999999999999959","","323->234","0.0","0.0","false",,"323->234","2.0"
"correl_pearson|dist_bray","6.0",,"copresence","637->638","2","0.0","","637->638","0.0","0.0","false",,"637->638","2.0"
"correl_pearson|dist_bray","19.0",,"copresence","747->634","2","0.00936037|0.9999553618403977","","747->634","0.0","0.0","false",,"747->634","2.0"
"correl_pearson|dist_bray","38.0",,"copresence","634->678","2","0.0|0.00936037","","634->678","0.0","0.0","false",,"634->678","2.0"
"correl_pearson|dist_bray","125.0",,"copresence","545->638","2","0.0|0.02846975","","545->638","0.0","0.0","false",,"545->638","2.0"
"correl_pearson|dist_bray","8.0",,"copresence","289->234","2","0.0|0.9999999999999972","","289->234","0.0","0.0","false",,"289->234","2.0"
"correl_pearson|dist_bray","13.0",,"copresence","344->439","2","0.0|0.03719912","","344->439","0.0","0.0","false",,"344->439","2.0"
"correl_pearson|dist_bray","4.0",,"copresence","450->501","2","0.0","","450->501","0.0","0.0","false",,"450->501","2.0"
"correl_pearson|dist_bray","19.0",,"copresence","289->594","2","0.0|0.09574468","","289->594","0.0","0.0","false",,"289->594","2.0"
