MCODE App Results
Date: 23 July 2024, 6:42:01 pm

Parameters:
   Network Scoring:
      Include Loops: false  Degree Cutoff: 2
   Cluster Finding:
      Node Score Cutoff: 0.2  Haircut: true  Fluff: false  K-Core: 2  Max. Depth from Seed: 100

Cluster	Score (Density*#Nodes)	Nodes	Edges	Node IDs
1	15.688	33	251	637, 545, 501, 441, 458, 594, 439, 289, 307, 344, 234, 639, 323, 678, 638, 622, 634, 659, 741, 357, 747, 709, 298, 727, 198, 671, 450, 451, 243, 207, 517, 265, 435
2	10	17	80	406, 431, 530, 267, 383, 605, 749, 521, 263, 619, 347, 193, 229, 621, 656, 711, 218
3	9.241	30	134	335, 433, 437, 427, 730, 295, 620, 668, 596, 597, 540, 682, 361, 413, 762, 570, 663, 270, 689, 600, 290, 222, 274, 473, 286, 481, 484, 519, 191, 215
4	4.5	5	9	304, 202, 379, 251, 419
5	4.286	15	30	763, 316, 213, 297, 609, 242, 269, 633, 394, 628, 745, 499, 258, 569, 438
6	4	4	6	642, 330, 160, 651
7	4	4	6	214, 161, 704, 443
8	3.333	4	5	440, 509, 624, 756
9	3.333	4	5	645, 719, 610, 486
10	3.333	4	5	674, 695, 369, 508
11	3	3	3	313, 446, 293
12	3	3	3	532, 759, 459
13	3	3	3	598, 567, 654
14	3	3	3	353, 490, 238
15	3	3	3	219, 172, 630
16	3	3	3	547, 715, 272
17	3	3	3	22, 135, 59
18	3	3	3	516, 378, 696
19	3	3	3	182, 341, 564
