"abundance","ASV","ASVNumber","AverageShortestPathLength","Betweenness Dir","BetweennessCentrality","Bridging Dir","Centroid Dir","Class","Closeness Dir","ClosenessCentrality","ClusteringCoefficient","degree","Eccentricity","EdgeCount","EigenVector Dir","Family","Genus","Indegree","IsSingleNode","Kingdom","Label","MCODE::Clusters (1)","MCODE::Node Status (1)","MCODE::Score (1)","name","negdegree","NeighborhoodConnectivity","Order","oriID","Outdegree","PartnerOfMultiEdgedNodePairs","Phylum","posdegree","Radiality Dir","samplecount","selected","SelfLoops","shared name","Stress","unknowndegree"
"176.0","146195f72933e590d98b89c38d6eda33","11","0.0","0.0","0.0","0.0","0.0","Actinobacteria","0.0","0.0","0.0","1","0","1","0.0","Geodermatophilaceae","Klenkia","1","false","Bacteria","11","","Unclustered","0.0","11","0","1.0","Frankiales","11","0","0","Actinobacteriota","1","4.8756704046806434E-4","3","true","0","11","0","0"
"1095.0","98ba87fa30ec4f4e4c38217cd35b0083","86","1.0","0.0","0.0","0.0","-1.0","Acidobacteriae","1.0","1.0","0.0","1","1","1","18323.682413207065","Acidobacteriaceae_(Subgroup_1)","Terriglobus","0","false","Bacteria","86","","Unclustered","0.0","86","0","1.0","Acidobacteriales","86","1","0","Acidobacteriota","1","4.878048780487805E-4","3","true","0","86","0","0"
"3217.0","56b17ee22867f28d69ceed6536bce3f4","377","0.0","0.0","0.0","0.0","0.0","Sordariomycetes","0.0","0.0","0.0","1","0","1","9484.744759921208","Nectriaceae","Fusarium","1","false","Fungi","377","","Unclustered","0.0","377","0","2.0","Hypocreales","377","0","0","Ascomycota","1","4.8756704046806434E-4","3","true","0","377","0","0"
"8574.0","03849f109c130fc81f1836f1add9c527","169","1.5","0.0","0.0","0.0","-2.0","Sordariomycetes","1.5","0.6666666666666666","0.0","1","2","1","-8931.29205504048","Nectriaceae","Fusarium","0","false","Fungi","169","","Unclustered","0.0","169","0","2.0","Hypocreales","169","1","0","Ascomycota","1","4.8792388387411563E-4","5","true","0","169","0","0"
"831.0","e0f4d3e5df7057f4ac8fe8622cf2f3f6","705","0.0","0.0","0.0","0.0","0.0","Dothideomycetes","0.0","0.0","0.0","1","0","1","20656.57759901196","Sporormiaceae","Sporormiaceae","1","false","Fungi","705","","Unclustered","0.0","705","0","4.0","Pleosporales","705","0","0","Ascomycota","1","4.8756704046806434E-4","2","true","0","705","0","0"
"765.0","c9c6b37c02861a094891437716238980","657","0.0","0.0","0.0","0.0","0.0","Dothideomycetes","0.0","0.0","0.0","1","0","1","3395.8874030483794","Phaeosphaeriaceae","Phaeosphaeria","1","false","Fungi","657","","Unclustered","0.0","657","0","4.0","Pleosporales","657","0","0","Ascomycota","1","4.8756704046806434E-4","3","true","0","657","0","0"
"274.0","497a26126c9e726c768bdec79e8c4e9b","47","1.5","0.0","0.0","0.0","-2.0","Actinobacteria","1.5","0.6666666666666666","0.0","1","2","1","-6583.213278599479","Microbacteriaceae","Curtobacterium","0","false","Bacteria","47","","Unclustered","0.0","47","0","4.0","Micrococcales","47","1","0","Actinobacteriota","1","4.8792388387411563E-4","2","true","0","47","0","0"
"1928.0","e5ebe6d6646ab7996c62dece6ddbee80","713","0.0","0.0","0.0","0.0","0.0","Ascomycota","0.0","0.0","0.0","1","0","1","5.709842269816824E-12","Ascomycota","Ascomycota","1","false","Fungi","713","","Unclustered","0.0","713","0","1.0","Ascomycota","713","0","0","Ascomycota","1","4.8756704046806434E-4","3","true","0","713","0","0"
"330.0","bddd9071ddb26eb16c0e4f9966614caf","112","1.0","0.0","0.0","0.0","-1.0","Actinobacteria","1.0","1.0","0.0","1","1","1","25401.225103679328","Kineosporiaceae","Kineosporia","0","false","Bacteria","112","","Unclustered","0.0","112","0","1.0","Kineosporiales","112","1","0","Actinobacteriota","1","4.878048780487805E-4","2","true","0","112","0","0"
"452.0","5e5e52a6f5271a12ce9005e18fc0ef2f","389","0.0","0.0","0.0","0.0","0.0","Dothideomycetes","0.0","0.0","0.5","2","0","2","3395.8874030481456","Pleosporaceae","Alternaria","2","false","Fungi","389","","Unclustered","2.0","389","0","5.0","Pleosporales","389","0","0","Ascomycota","2","4.8756704046806434E-4","3","true","0","389","0","0"
