SampleID	PCR_Control	Extract_Control	Source	Site	Region	SiteType	Host_SiteType	Host_Region	SiteType_Site	Primer_with_WEHI_adapter	Index_PCR_Plate	Fwd_primer	FWDprimer	REVPrimer	Rev_Primer
ext_blank_1_16s_FWD20	FALSE	TRUE	Control	Extract_Control	Control	Control	Control_Control	Control_Control	Control_Extract_Control	515f/806r	Allison_Plate 3_Run3	Fwd_20	FWD20	REV04	Rev_04
ext_blank_1_FWD18	FALSE	TRUE	Control	Extract_Control	Control	Control	Control_Control	Control_Control	Control_Extract_Control	515f/806r	Allison_Plate_4_Run2	Fwd_18	FWD18	REV16	Rev_16
ext_blank_2_16s_FWD20	FALSE	TRUE	Control	Extract_Control	Control	Control	Control_Control	Control_Control	Control_Extract_Control	515f/806r	Allison_Plate 3_Run3	Fwd_20	FWD20	REV05	Rev_05
ext_blank_2_FWD18	FALSE	TRUE	Control	Extract_Control	Control	Control	Control_Control	Control_Control	Control_Extract_Control	515f/806r	Allison_Plate_4_Run2	Fwd_18	FWD18	REV17	Rev_17
ext_blank_3_16s_FWD24	FALSE	TRUE	Control	Extract_Control	Control	Control	Control_Control	Control_Control	Control_Extract_Control	515f/806r	Allison_Plate 3_Run3	Fwd_24	FWD24	REV01	Rev_01
ext_blank_3_FWD18	FALSE	TRUE	Control	Extract_Control	Control	Control	Control_Control	Control_Control	Control_Extract_Control	515f/806r	Allison_Plate_4_Run2	Fwd_18	FWD18	REV18	Rev_18
EXT_BLK_1_16S	FALSE	TRUE	Control	Extract_Control	Control	Control	Control	Control	Control_Extract_Control	515f/806r	Allison_Plate2_Run4	Fwd_89	FWD89	REV84	Rev_84
EXT_BLK_2_16S	FALSE	TRUE	Control	Extract_Control	Control	Control	Control	Control	Control_Extract_Control	515f/806r	Allison_Plate2_Run4	Fwd_90	FWD90	REV85	Rev_85
EXT_BLK_3_16S	FALSE	TRUE	Control	Extract_Control	Control	Control	Control	Control	Control_Extract_Control	515f/806r	Allison_Plate2_Run4	Fwd_91	FWD91	REV86	Rev_86
iPCR_NTC_4b_FWD18	TRUE	FALSE	Control	PCR_Control	Control	Control	Control_Control	Control_Control	Control_PCR_Control	515f/806r	Allison_Plate_4_Run2	Fwd_18	FWD18	REV19	Rev_19
iPCR_NTC_5b_FWD18	TRUE	FALSE	Control	PCR_Control	Control	Control	Control_Control	Control_Control	Control_PCR_Control	515f/806r	Allison_Plate_4_Run2	Fwd_18	FWD18	REV20	Rev_20
iPCR_NTC_6b_FWD18	TRUE	FALSE	Control	PCR_Control	Control	Control	Control_Control	Control_Control	Control_PCR_Control	515f/806r	Allison_Plate_4_Run2	Fwd_18	FWD18	REV21	Rev_21
Mock_1_Bacteria_FWD16	FALSE	FALSE	Control	Mock_Community	Control	Control	Control_Control	Control_Control	Control_Mock_Community	515f/806r	Allison_Plate 1_Run3	Fwd_16	FWD16	REV12	Rev_12
Mock_1b_FWD24	FALSE	FALSE	Control	Mock_Community	Control	Control	Control_Control	Control_Control	Control_Mock_Community	515f/806r	Allison_Plate_4_Run2	Fwd_18	FWD18	REV22	Rev_22
Mock_2_Bacteria_FWD16	FALSE	FALSE	Control	Mock_Community	Control	Control	Control_Control	Control_Control	Control_Mock_Community	515f/806r	Allison_Plate 2_Run3	Fwd_16	FWD16	REV24	Rev_24
Mock_2b_FWD24	FALSE	FALSE	Control	Mock_Community	Control	Control	Control_Control	Control_Control	Control_Mock_Community	515f/806r	Allison_Plate_4_Run2	Fwd_18	FWD18	REV23	Rev_23
Mock_3_Bacteria_FWD24	FALSE	FALSE	Control	Mock_Community	Control	Control	Control_Control	Control_Control	Control_Mock_Community	515f/806r	Allison_Plate 3_Run3	Fwd_24	FWD24	REV12	Rev_12
Mock_3b_FWD24	FALSE	FALSE	Control	Mock_Community	Control	Control	Control_Control	Control_Control	Control_Mock_Community	515f/806r	Allison_Plate_4_Run2	Fwd_18	FWD18	REV24	Rev_24
Mock_1_Bacteria_16S	FALSE	FALSE	Control	Mock_Community	Control	Control	Control	Control	Control_Mock_Community	515f/806r	Allison_Plate2_Run4	Fwd_95	FWD95	REV90	Rev_90
Mock_2_Bacteria_16S	FALSE	FALSE	Control	Mock_Community	Control	Control	Control	Control	Control_Mock_Community	515f/806r	Allison_Plate2_Run4	Fwd_96	FWD96	REV91	Rev_91
Mock_3_Bacteria_16S	FALSE	FALSE	Control	Mock_Community	Control	Control	Control	Control	Control_Mock_Community	515f/806r	Allison_Plate2_Run4	Fwd_97	FWD97	REV92	Rev_92
NTC_OH_1_FWD16	TRUE	FALSE	Control	PCR_Control	Control	Control	Control_Control	Control_Control	Control_PCR_Control	515f/806r	Allison_Plate 1_Run3	Fwd_16	FWD16	REV11	Rev_11
NTC_OH_2_FWD16	TRUE	FALSE	Control	PCR_Control	Control	Control	Control_Control	Control_Control	Control_PCR_Control	515f/806r	Allison_Plate 2_Run3	Fwd_16	FWD16	REV23	Rev_23
