Sample_ID	PCR_Control	Extract_Control	Subset	Source	Site	Source_Site	Site_Source	Source_SiteType	SiteType_Site	Region	SiteType	Accession
Blank_PCR1f_FWD12	TRUE	FALSE	Control	Control	PCR_Control	Control	Control	Control	Control_PCR_Control	Control	Control	Control
Blank_PCR2f_FWD12	TRUE	FALSE	Control	Control	PCR_Control	Control	Control	Control	Control_PCR_Control	Control	Control	Control
ext_blank_3_Fun_Control_FWD23	FALSE	TRUE	Control	Control	Extract_Control	Control	Control	Control	Control_Extract_Control	Control	Control	Control
ext_blank_4_FWD24	FALSE	TRUE	Control	Control	Extract_Control	Control	Control	Control	Control_Extract_Control	Control	Control	Control
ext_blank_5_FWD24	FALSE	TRUE	Control	Control	Extract_Control	Control	Control	Control	Control_Extract_Control	Control	Control	Control
ext_blank_6_FWD24	FALSE	TRUE	Control	Control	Extract_Control	Control	Control	Control	Control_Extract_Control	Control	Control	Control
EXT_BLK_1_ITS2	FALSE	TRUE	Control	Control	Extract_Control	Control	Control	Control	Control_Extract_Control	Control	Control	Control
EXT_BLK_2_ITS2	FALSE	TRUE	Control	Control	Extract_Control	Control	Control	Control	Control_Extract_Control	Control	Control	Control
EXT_BLK_3_ITS2	FALSE	TRUE	Control	Control	Extract_Control	Control	Control	Control	Control_Extract_Control	Control	Control	Control
Mock_4_FWD24	FALSE	FALSE	Control	Control	Mock_Community	Control	Control	Control	Control_Mock_Community	Control	Control	Control
Mock_5_FWD24	FALSE	FALSE	Control	Control	Mock_Community	Control	Control	Control	Control_Mock_Community	Control	Control	Control
Mock_6_FWD24	FALSE	FALSE	Control	Control	Mock_Community	Control	Control	Control	Control_Mock_Community	Control	Control	Control
Mock_7_FWD16	FALSE	FALSE	Control	Control	Mock_Community	Control	Control	Control	Control_Mock_Community	Control	Control	Control
Mock_8_FWD16	FALSE	FALSE	Control	Control	Mock_Community	Control	Control	Control	Control_Mock_Community	Control	Control	Control
Mock_Fungi_1_Control_FWD24	FALSE	FALSE	Control	Control	Mock_Community	Control	Control	Control	Control_Mock_Community	Control	Control	Control
Mock_Fungi_2_Control_FWD24	FALSE	FALSE	Control	Control	Mock_Community	Control	Control	Control	Control_Mock_Community	Control	Control	Control
Mock_Fungi_3_Control_FWD24	FALSE	FALSE	Control	Control	Mock_Community	Control	Control	Control	Control_Mock_Community	Control	Control	Control
NTC_OH_1_ITS2_Control_FWD24	TRUE	FALSE	Control	Control	PCR_Control	Control	Control	Control	Control_PCR_Control	Control	Control	Control
NTC_OH_2_ITS2	TRUE	FALSE	Control	Control	PCR_Control	Control	Control	Control	Control_PCR_Control	Control	Control	Control
NTC_OH_2_ITS2_Control_FWD24	TRUE	FALSE	Control	Control	PCR_Control	Control	Control	Control	Control_PCR_Control	Control	Control	Control
NTC_OH_3_ITS2	TRUE	FALSE	Control	Control	PCR_Control	Control	Control	Control	Control_PCR_Control	Control	Control	Control
NTC_OH_3_ITS2_Control_FWD24	TRUE	FALSE	Control	Control	PCR_Control	Control	Control	Control	Control_PCR_Control	Control	Control	Control
NTC_OH_4f_FWD16	TRUE	FALSE	Control	Control	PCR_Control	Control	Control	Control	Control_PCR_Control	Control	Control	Control
NTC_OH_5f_FWD16	TRUE	FALSE	Control	Control	PCR_Control	Control	Control	Control	Control_PCR_Control	Control	Control	Control
S100_NSW1092909_FWD13	FALSE	FALSE	Sample	Themeda_triandra	Jesmond_Park	Themeda_triandra_Jesmond_Park	Jesmond_Park_Themeda_triandra	Themeda_triandra_Restored	Restored_Jesmond_Park	North_Coast	Restored	NSW1092909
S101_NSW1092904_FWD13	FALSE	FALSE	Sample	Themeda_triandra	Jesmond_Park	Themeda_triandra_Jesmond_Park	Jesmond_Park_Themeda_triandra	Themeda_triandra_Restored	Restored_Jesmond_Park	North_Coast	Restored	NSW1092904
S102_NSW1092913_FWD13	FALSE	FALSE	Sample	Themeda_triandra	Jesmond_Park	Themeda_triandra_Jesmond_Park	Jesmond_Park_Themeda_triandra	Themeda_triandra_Restored	Restored_Jesmond_Park	North_Coast	Restored	NSW1092913
S103_NSW1092943_FWD13	FALSE	FALSE	Sample	Themeda_triandra	Jesmond_Park	Themeda_triandra_Jesmond_Park	Jesmond_Park_Themeda_triandra	Themeda_triandra_Restored	Restored_Jesmond_Park	North_Coast	Restored	NSW1092943
S104_NSW1092905_FWD13	FALSE	FALSE	Sample	Themeda_triandra	Jesmond_Park	Themeda_triandra_Jesmond_Park	Jesmond_Park_Themeda_triandra	Themeda_triandra_Restored	Restored_Jesmond_Park	North_Coast	Restored	NSW1092905
S105_NSW1092594_FWD13	FALSE	FALSE	Sample	Themeda_triandra	Meroo_NP_Romney_Park_Road	Themeda_triandra_Meroo_NP_Romney_Park_Road	Meroo_NP_Romney_Park_Road_Themeda_triandra	Themeda_triandra_Natural	Natural_Meroo_NP_Romney_Park_Road	South_Coast	Natural	NSW1092594
S106_NSW1092549_FWD13	FALSE	FALSE	Sample	Themeda_triandra	Meroo_NP_Romney_Park_Road	Themeda_triandra_Meroo_NP_Romney_Park_Road	Meroo_NP_Romney_Park_Road_Themeda_triandra	Themeda_triandra_Natural	Natural_Meroo_NP_Romney_Park_Road	South_Coast	Natural	NSW1092549
S107_NSW1092579_FWD13	FALSE	FALSE	Sample	Themeda_triandra	Meroo_NP_Romney_Park_Road	Themeda_triandra_Meroo_NP_Romney_Park_Road	Meroo_NP_Romney_Park_Road_Themeda_triandra	Themeda_triandra_Natural	Natural_Meroo_NP_Romney_Park_Road	South_Coast	Natural	NSW1092579
S108_NSW1092539_FWD13	FALSE	FALSE	Sample	Themeda_triandra	Meroo_NP_Romney_Park_Road	Themeda_triandra_Meroo_NP_Romney_Park_Road	Meroo_NP_Romney_Park_Road_Themeda_triandra	Themeda_triandra_Natural	Natural_Meroo_NP_Romney_Park_Road	South_Coast	Natural	NSW1092539
S109_NSW1092529_FWD14	FALSE	FALSE	Sample	Themeda_triandra	Meroo_NP_Romney_Park_Road	Themeda_triandra_Meroo_NP_Romney_Park_Road	Meroo_NP_Romney_Park_Road_Themeda_triandra	Themeda_triandra_Natural	Natural_Meroo_NP_Romney_Park_Road	South_Coast	Natural	NSW1092529
S110_NSW1092544_FWD14	FALSE	FALSE	Sample	Themeda_triandra	Meroo_NP_Romney_Park_Road	Themeda_triandra_Meroo_NP_Romney_Park_Road	Meroo_NP_Romney_Park_Road_Themeda_triandra	Themeda_triandra_Natural	Natural_Meroo_NP_Romney_Park_Road	South_Coast	Natural	NSW1092544
S111_NSW1092571_FWD14	FALSE	FALSE	Sample	Themeda_triandra	Meroo_NP_Romney_Park_Road	Themeda_triandra_Meroo_NP_Romney_Park_Road	Meroo_NP_Romney_Park_Road_Themeda_triandra	Themeda_triandra_Natural	Natural_Meroo_NP_Romney_Park_Road	South_Coast	Natural	NSW1092571
S112_NSW1092592_FWD14	FALSE	FALSE	Sample	Microlaena_stipoides	Meroo_NP_Romney_Park_Road	Microlaena_stipoides_Meroo_NP_Romney_Park_Road	Meroo_NP_Romney_Park_Road_Microlaena_stipoides	Microlaena_stipoides_Natural	Natural_Meroo_NP_Romney_Park_Road	South_Coast	Natural	NSW1092592
