	Kingdom	Phylum	Class	Order	Family	Genus	ASV	ASVNumber	Keystone
1	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	0038650a5fd9da4a46ea58900b8c5b68	1	NonKeystone
2	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Vibrionales	Vibrionaceae	Vibrio	0429a8a999c3238e12bbfaa1714d385e	2	NonKeystone
3	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhizobiales	Beijerinckiaceae	Methylobacterium-Methylorubrum	04ecfad5772d2e09a84a0f5ef460536c	3	NonKeystone
4	Bacteria	 Actinobacteriota	 Actinobacteria	 Corynebacteriales	Segniliparaceae	Segniliparus	05bddf1ac06702c6d99ecbfd3379535f	4	NonKeystone
5	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Burkholderiales	Comamonadaceae	Comamonadaceae	0920dcf0f62fb2b3ab9e32f1c4edec37	5	NonKeystone
6	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	0d915b1fef87b742d73f86c71156954e	6	NonKeystone
7	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Pseudomonadales	Moraxellaceae	Acinetobacter	0e2e91fba1ca9ed7de2d11ea4786c914	7	NonKeystone
8	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	0ed29d234950e871b1697b8589ba3b54	8	NonKeystone
9	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Pseudomonadales	Pseudomonadaceae	Pseudomonas	0f18144d308ada95632ab5193d92073f	9	NonKeystone
10	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Enterobacterales	Enterobacterales	Enterobacterales	119b70614392764602bb20f8bbe8f960	10	NonKeystone
11	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	1209435a47cdb825696af19cbfd8308a	11	NonKeystone
12	Bacteria	 Firmicutes	 Bacilli	 Paenibacillales	Paenibacillaceae	Paenibacillus	166093520348b8c5ef6a4eb79faae728	12	NonKeystone
