"cooc_method","Edge Betweenness Dir","EdgeBetweenness","interaction","interactionType","Label","method_number","method_scores","methodname_score","name","pval","qval","selected","shared interaction","shared name","weight"
"correl_pearson|dist_bray","1.0","1.0","","copresence","444->228","2","0.9964678802810086|0.09535759","","444->228","0.0","0.0","true","","444->228","2.0"
"correl_pearson|dist_bray","1.0","2.0","","copresence","259->346","2","0.0|0.09149302","","259->346","0.0","0.0","true","","259->346","2.0"
"correl_pearson|dist_bray","5.0","21.0","","copresence","10->42","2","0.0|0.09598629","","10->42","0.0","0.0","false","","10->42","2.0"
"correl_pearson|dist_bray","6.0","25.0","","copresence","10->48","2","0.098689|0.0","","10->48","0.0","0.0","false","","10->48","2.0"
"correl_pearson|dist_bray","1.0","2.0","","copresence","272->184","2","0.05144444|0.9983180659583958","","272->184","0.0","0.0","true","","272->184","2.0"
"correl_pearson|dist_bray","1.0","2.0","","copresence","401->518","2","0.0|0.02616594","","401->518","0.0","0.0","true","","401->518","2.0"
"correl_pearson|dist_bray","1.0","2.0","","copresence","111->16","2","0.9852261721654725|0.09190504","","111->16","0.0","0.0","true","","111->16","2.0"
"correl_pearson|dist_bray","2.0","6.0","","copresence","366->500","2","0.0|0.0529798","","366->500","0.0","0.0","true","","366->500","2.0"
"correl_pearson|dist_bray","1.0","1.0","","copresence","22->235","2","0.02348105|0.0","","22->235","0.0","0.0","true","","22->235","2.0"
"correl_pearson|dist_bray","1.0","1.0","","copresence","293->458","2","0.0|0.06429315","","293->458","0.0","0.0","true","","293->458","2.0"
"correl_pearson|dist_bray","1.0","2.0","","copresence","49->404","2","0.0|0.08035467","","49->404","0.0","0.0","true","","49->404","2.0"
"correl_pearson|dist_bray","1.0","2.0","","copresence","102->179","2","0.0|0.05356152","","102->179","0.0","0.0","true","","102->179","2.0"
"correl_pearson|dist_bray","1.0","2.0","","copresence","345->456","2","0.0|0.00340577","","345->456","0.0","0.0","true","","345->456","2.0"
