abundance,AverageShortestPathLength,Betweenness Dir,BetweennessCentrality,Bridging Dir,Centroid Dir,Class,Closeness Dir,ClosenessCentrality,ClusteringCoefficient,degree,Eccentricity,Eccentricity Dir,EdgeCount,EigenVector Dir,Family,Genus,Indegree,IsSingleNode,Kingdom,Label,MCODE::Clusters (1),MCODE::Node Status (1),MCODE::Score (1),name,negdegree,NeighborhoodConnectivity,Order,oriID,Outdegree,PartnerOfMultiEdgedNodePairs,phylum,posdegree,samplecount,selected,SelfLoops,shared name,Species,Stress,unknowndegree
374,0,0,0,0,0,Dothideomycetes,0,0,0,1,0,0,1,9.59E-15,Aureobasidiaceae,Aureobasidium,1,FALSE,Fungi,228,,Unclustered,0,228,0,1,Dothideales,228,0,0,Ascomycota,1,2,FALSE,0,228,3c64c570a53a436ca0372c6d637cc52f,0,0
797,1,0,0,0,-1,Agaricostilbomycetes,1,1,0,1,1,1,1,0,Agaricostilbaceae,Sterigmatomyces,0,FALSE,Fungi,444,,Unclustered,0,444,0,1,Agaricostilbales,444,1,0,Basidiomycota,1,5,FALSE,0,444,c36d6006975cb7aadc08cb2d56759430,0,0
630,0,0,0,0,0,Bacteria,0,0,0,1,0,0,1,1,Bacteria,Bacteria,1,FALSE,Bacteria,42,,Unclustered,0,42,0,3,Bacteria,42,0,0,Bacteria,1,3,FALSE,0,42,656d3da4faaaeb9b20c8529de68fef10,0,0
469,0,0,0,0,0,Sordariomycetes,0,0,0,1,0,0,1,4.33E-14,Nectriaceae,Fusarium,1,FALSE,Fungi,346,,Unclustered,0,346,0,1,Hypocreales,346,0,0,Ascomycota,1,2,FALSE,0,346,8823f1241d2b97d9142394ce5e6f4c9b,0,0
401,1,0,0,0,-1,Sordariomycetes,1,1,0,1,1,1,1,51.4950884,Sporocadaceae,Pestalotiopsis,0,FALSE,Fungi,259,,Unclustered,0,259,0,1,Xylariales,259,1,0,Ascomycota,1,2,FALSE,0,259,50c50d62750f33b01efd472cf626ec2d,0,0
307,0,0,0,0,0,Sordariomycetes,0,0,0,1,0,0,1,0.033138374,Diaporthaceae,Diaporthe,1,FALSE,Fungi,195,,Unclustered,0,195,0,2,Diaporthales,195,0,0,Ascomycota,1,2,FALSE,0,195,2b36943cc7606e621b1acfe323e561f0,0,0
227,1.333333333,8,0.80952381,1.454545455,-3,Gammaproteobacteria,2.5,0.75,0,3,2,0.5,3,-4.23E-16,Enterobacterales,Enterobacterales,1,FALSE,Bacteria,10,,Unclustered,0.5,10,0,2,Enterobacterales,10,2,0,Proteobacteria,3,2,FALSE,0,10,119b70614392764602bb20f8bbe8f960,34,0
875,0,0,0,0,0,Tremellomycetes,0,0,0,1,0,0,1,-9.56E-14,Bulleribasidiaceae,Dioszegia,1,FALSE,Fungi,184,,Unclustered,0,184,0,1,Tremellales,184,0,0,Basidiomycota,1,3,FALSE,0,184,21b37dc9e10f94fcbb6509742880954c,0,0
1512,1,0,0,0,-1,Sordariomycetes,1,1,0,1,1,1,1,-3.127290191,Nectriaceae,Fusarium,0,FALSE,Fungi,272,,Unclustered,0,272,0,1,Hypocreales,272,1,0,Ascomycota,1,2,FALSE,0,272,56b17ee22867f28d69ceed6536bce3f4,0,0
652,0,0,0,0,0,Sordariomycetes,0,0,0,1,0,0,1,-5.14E-14,Sporocadaceae,Pestalotiopsis,1,FALSE,Fungi,518,,Unclustered,0,518,0,1,Xylariales,518,0,0,Ascomycota,1,3,FALSE,0,518,f80e254bf1e95471c8f363b89f50ee98,0,0
