	Kingdom	Phylum	Class	Order	Family	Genus	ASV	ASVNumber	Keystone
1	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	0038650a5fd9da4a46ea58900b8c5b68	1	NonKeystone
2	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Oceanospirillales	Halomonadaceae	Salinicola	01646af82fb203b392b6205558545f1c	2	NonKeystone
3	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	01744a1f8ece3a6a7972701330b2586c	3	NonKeystone
4	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Vibrionales	Vibrionaceae	Vibrio	0429a8a999c3238e12bbfaa1714d385e	4	NonKeystone
5	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhizobiales	Beijerinckiaceae	Methylobacterium-Methylorubrum	04ecfad5772d2e09a84a0f5ef460536c	5	NonKeystone
6	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Burkholderiales	Comamonadaceae	Comamonadaceae	0920dcf0f62fb2b3ab9e32f1c4edec37	6	NonKeystone
7	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Burkholderiales	Oxalobacteraceae	Massilia	0c5d2114ee9993714e590b3f7cb4e9ef	7	NonKeystone
8	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	0d915b1fef87b742d73f86c71156954e	8	NonKeystone
9	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Pseudomonadales	Moraxellaceae	Acinetobacter	0e2e91fba1ca9ed7de2d11ea4786c914	9	NonKeystone
10	Bacteria	 Actinobacteriota	 Actinobacteria	 Actinomycetales	Actinomycetaceae	Actinomyces	0ed3a6836e138f14044f6950ad7280d2	10	NonKeystone
11	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Pseudomonadales	Pseudomonadaceae	Pseudomonas	0f18144d308ada95632ab5193d92073f	11	NonKeystone
12	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Sphingomonadales	Sphingomonadaceae	Sphingomonas	10afda2baef44de4c584a6641de399b1	12	NonKeystone
13	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Enterobacterales	Morganellaceae	Morganellaceae	11386b14f95ec9168be2a95f50718de7	13	NonKeystone
14	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Enterobacterales	Enterobacterales	Enterobacterales	119b70614392764602bb20f8bbe8f960	14	NonKeystone
15	Bacteria	 Campilobacterota	 Campylobacteria	 Campylobacterales	Campylobacteraceae	Campylobacter	139e832c69fb177d68bb0f5cb8594845	15	NonKeystone
16	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	151338ece9ac0dcd5feb3b68c476040d	16	NonKeystone
17	Bacteria	 Firmicutes	 Bacilli	 Lactobacillales	Streptococcaceae	Streptococcus	1637345f45b90ef2aba65723fddc6151	17	NonKeystone
18	Bacteria	 Firmicutes	 Bacilli	 Paenibacillales	Paenibacillaceae	Paenibacillus	166093520348b8c5ef6a4eb79faae728	18	NonKeystone
19	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Burkholderiales	Oxalobacteraceae	Massilia	182b329605548d2e9a3fa1c3c218070d	19	NonKeystone
20	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Pseudomonadales	Pseudomonadaceae	Pseudomonas	188afc07f7279f942c3c7676f22b8588	20	NonKeystone
21	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Pseudomonadales	Pseudomonadaceae	Pseudomonas	1bc599cac5647c5c30496e93ca551557	21	NonKeystone
22	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	1c6836cb2e863de38453b2512507975f	22	NonKeystone
23	Bacteria	 Bacteroidota	 Bacteroidia	 Flavobacteriales	Weeksellaceae	Chryseobacterium	1cb29f361033ce208d7efc9e2aa80ee0	23	NonKeystone
24	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Sphingomonadales	Sphingomonadaceae	Sphingomonas	1fa19a198819b145e52bb266e4e7840b	24	NonKeystone
25	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Enterobacterales	Enterobacteriaceae	Enterobacteriaceae	2211cb93d390aa295aa4c75baa1e23c1	25	NonKeystone
26	Bacteria	 Firmicutes	 Negativicutes	 Veillonellales-Selenomonadales	Veillonellaceae	Veillonella	2740cf2417c92847cc298cbd71dd1fcd	26	NonKeystone
27	Bacteria	 Bacteroidota	 Bacteroidia	 Flavobacteriales	Weeksellaceae	Chryseobacterium	2d77cf80c9b03b82ce7ed6eacfa04e12	27	NonKeystone
28	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Pseudomonadales	Pseudomonadaceae	Pseudomonas	2f7db29d89aa3dce7453fcc7348598e9	28	NonKeystone
29	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Oceanospirillales	Halomonadaceae	Kushneria	3525176c2cf3dfb01d725c87a2495ef1	29	NonKeystone
30	Bacteria	 Actinobacteriota	 Actinobacteria	 Micrococcales	Micrococcaceae	Paeniglutamicibacter	36b543907ed2e4e4c2415e0462afed3d	30	NonKeystone
31	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Enterobacterales	Enterobacterales	Enterobacterales	3b94c19ef326eea0918e1c3d244c999c	31	NonKeystone
32	Bacteria	 Actinobacteriota	 Actinobacteria	 Micromonosporales	Micromonosporaceae	Actinoplanes	3cf2dcb61fbb5df33396e7bd91d715e3	32	NonKeystone
33	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhizobiales	Xanthobacteraceae	Xanthobacteraceae	3da13822a4e59d2d70a6ec427c82e650	33	NonKeystone
34	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	3ddbc421946290dbca284dde95cc2d56	34	NonKeystone
35	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Pseudomonadales	Moraxellaceae	Acinetobacter	3ebe761bfb1238c87195d431f41bf976	35	NonKeystone
36	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Pseudomonadales	Pseudomonadaceae	Pseudomonas	3ef3bf00702397006fafc0fab1ba9d93	36	NonKeystone
37	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Enterobacterales	Erwiniaceae	Erwiniaceae	417b5939dad4067d75ec2b5016599750	37	NonKeystone
38	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Pseudomonadales	Pseudomonadaceae	Pseudomonas	428e4a80a1e14a59d72810a32f62f434	38	NonKeystone
39	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Pseudomonadales	Moraxellaceae	Acinetobacter	430d480477d450614cc88f3853c6ae7f	39	NonKeystone
40	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Pseudomonadales	Pseudomonadaceae	Pseudomonas	43fddf1528d4a98928fd8c3a8ac23bfd	40	NonKeystone
41	Bacteria	 Actinobacteriota	 Actinobacteria	 Micrococcales	Microbacteriaceae	Microbacteriaceae	453cf07d3e96e304f23fbde7b355fe70	41	NonKeystone
42	Bacteria	 Firmicutes	 Bacilli	 Paenibacillales	Paenibacillaceae	Paenibacillus	45e3696d78d57fc35094a6cf67e6414b	42	NonKeystone
43	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Burkholderiales	Oxalobacteraceae	Massilia	4608fae4bbc9964cdd17af8782f2155e	43	NonKeystone
44	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Xanthomonadales	Rhodanobacteraceae	Luteibacter	46edd9a681a1c394007859666f76d477	44	NonKeystone
45	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Xanthomonadales	Rhodanobacteraceae	Luteibacter	483ea501739bd265b9b006c94db95856	45	NonKeystone
46	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Pseudomonadales	Pseudomonadaceae	Pseudomonas	48454bd504b23d75d289a23f12faa874	46	NonKeystone
47	Bacteria	 Actinobacteriota	 Actinobacteria	 Micrococcales	Microbacteriaceae	Curtobacterium	497a26126c9e726c768bdec79e8c4e9b	47	NonKeystone
48	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Acetobacterales	Acetobacteraceae	Asaia	49d46d00a93443b060707ab2db8ba82d	48	NonKeystone
49	Bacteria	 Bacteroidota	 Bacteroidia	 Flavobacteriales	Blattabacteriaceae	Candidatus_Brownia	4aab437f4e16994b04189e7ea2583daf	49	NonKeystone
50	Bacteria	 Bacteroidota	 Bacteroidia	 Flavobacteriales	Weeksellaceae	Chryseobacterium	4e0481f68111cd3463386f70247922bb	50	NonKeystone
51	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Enterobacterales	Erwiniaceae	Pantoea	5673ae66819e3bdbbc09461e4959159e	51	NonKeystone
52	Bacteria	 Actinobacteriota	 Actinobacteria	 Micrococcales	Microbacteriaceae	Microbacteriaceae	5e306b9194d7fd1d7414aeb55dafc4e0	52	NonKeystone
53	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Enterobacterales	Erwiniaceae	Erwinia	6110f28a1de867a9983a8a28ecf4e533	53	NonKeystone
54	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Enterobacterales	Yersiniaceae	Yersiniaceae	63afe8e6aac58bf0d670a82ca5bc574c	54	NonKeystone
55	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Sphingomonadales	Sphingomonadaceae	Novosphingobium	69360303bc71a2775b35d1b722cdf9c8	55	NonKeystone
56	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Xanthomonadales	Xanthomonadaceae	Stenotrophomonas	6c0c84518abe719cc7c4af67f51b577e	56	NonKeystone
57	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Pseudomonadales	Pseudomonadaceae	Pseudomonas	6e915dbd04afbaf811bdeef6e5d2b9fe	57	NonKeystone
58	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Xanthomonadales	Xanthomonadaceae	Stenotrophomonas	707b113b58cc9de53a12b87bc12ae3a1	58	NonKeystone
59	Bacteria	 Actinobacteriota	 Actinobacteria	 Actinomycetales	Actinomycetaceae	Actinomyces	75a3e20e916ee5ec7dceae34a1bc0209	59	NonKeystone
60	Bacteria	 Firmicutes	 Bacilli	 Paenibacillales	Paenibacillaceae	Saccharibacillus	75ac370ac31a3ba3f57b7a97016ef593	60	NonKeystone
61	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rickettsiales	Anaplasmataceae	Wolbachia	7730589abadb72a43d52750761be7a62	61	NonKeystone
62	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Pseudomonadales	Pseudomonadaceae	Pseudomonas	77a1e8bc25be2a0afd352762ed9497ce	62	NonKeystone
63	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Oceanospirillales	Halomonadaceae	Kushneria	7a9313b572df3efbbf07843dd102896c	63	NonKeystone
64	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Sphingomonadales	Sphingomonadaceae	Sphingomonas	7adfae9429d46a2b7e3e1006346aeaa9	64	NonKeystone
65	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Acetobacterales	Acetobacteraceae	Asaia	7ba27b83f6e4b71b1dfc88271803e108	65	NonKeystone
66	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Enterobacterales	Yersiniaceae	Serratia	7c49f7456d7be370dc61be5e114a21ce	66	NonKeystone
67	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	7d3a906bf1efc84684d861506369e86b	67	NonKeystone
68	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Enterobacterales	Yersiniaceae	Serratia	82dece6e35540738ba450a0c3a90b5a0	68	NonKeystone
69	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Pseudomonadales	Pseudomonadaceae	Pseudomonas	86d6db0b6e15510fa5d27ceae8fd5e0d	69	NonKeystone
70	Bacteria	 Bacteroidota	 Bacteroidia	 Bacteroidales	Prevotellaceae	Prevotella	86e4497c054a30a69e80832fa1dfd876	70	NonKeystone
71	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Pseudomonadales	Pseudomonadaceae	Pseudomonas	89184d1b53330e5a387fd3d44666bbc8	71	NonKeystone
72	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhizobiales	Rhizobiaceae	Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	8ce12e88f6b59bb09494567f0d678092	72	NonKeystone
73	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Burkholderiales	Oxalobacteraceae	Massilia	8df2b2e6c1cb64bd18b81d5bae7f0898	73	NonKeystone
74	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Pseudomonadales	Pseudomonadaceae	Pseudomonas	9008764305469acb079f239b4f29a8f0	74	NonKeystone
75	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Enterobacterales	Enterobacterales	Enterobacterales	9290bf71801644ad69fa09e2d3051852	75	NonKeystone
76	Bacteria	 Firmicutes	 Bacilli	 Lactobacillales	Carnobacteriaceae	Granulicatella	942ec60e75a4f9183b9b69cbf8960379	76	NonKeystone
77	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Burkholderiales	Oxalobacteraceae	Oxalobacteraceae	9483b69ab5e138183bee06209f4f7b07	77	NonKeystone
78	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rickettsiales	Anaplasmataceae	Wolbachia	96959cdde3efc996c1dd3a84816bc783	78	NonKeystone
