"cooc_method","Edge Betweenness Dir","EdgeBetweenness","interaction","interactionType","Label","method_number","method_scores","methodname_score","name","pval","qval","selected","shared interaction","shared name","weight"
"correl_pearson|dist_bray","1.0","2.0","","copresence","331->413","2","0.0|0.08095714","","331->413","0.0","0.0","true","","331->413","2.0"
"correl_pearson|dist_bray","1.0","2.0","","copresence","432->295","2","0.0129567|0.9997135854223588","","432->295","0.0","0.0","true","","432->295","2.0"
"correl_pearson|dist_bray","1.0","2.0","","copresence","182->291","2","0.0|0.05992707","","182->291","0.0","0.0","true","","182->291","2.0"
"correl_pearson|dist_bray","1.0","1.0","","copresence","28->123","2","0.0","","28->123","0.0","0.0","true","","28->123","2.0"
"correl_pearson|dist_bray","4.0","20.0","","copresence","261->146","2","0.09606481|0.9816393787799575","","261->146","0.0","0.0","false","","261->146","2.0"
"correl_pearson|dist_bray","1.0","1.0","","copresence","396->257","2","0.03090417|0.9990763399152287","","396->257","0.0","0.0","true","","396->257","2.0"
"correl_pearson|dist_bray","2.0","5.0","","copresence","307->152","2","0.08005003|0.9981997143039569","","307->152","0.0","0.0","true","","307->152","2.0"
"correl_pearson|dist_bray","2.0","4.0","","copresence","336->307","2","0.9985482421429059|0.08005003","","336->307","0.0","0.0","true","","336->307","2.0"
"correl_pearson|dist_bray","1.0","2.0","","copresence","391->380","2","0.9887955845141665|0.09336388","","391->380","0.0","0.0","true","","391->380","2.0"
"correl_pearson|dist_bray","3.0","21.0","","copresence","350->369","2","0.0|0.03711468","","350->369","0.0","0.0","true","","350->369","2.0"
"correl_pearson|dist_bray","1.0","13.0","","copresence","192->143","2","0.03165734|0.9980141288456267","","192->143","0.0","0.0","true","","192->143","2.0"
"correl_pearson|dist_bray","6.0","8.0","","copresence","53->83","2","0.0|0.08735929","","53->83","0.0","0.0","false","","53->83","2.0"
"correl_pearson|dist_bray","1.0","1.0","","copresence","15->186","2","0.0|0.05310315","","15->186","0.0","0.0","true","","15->186","2.0"
"correl_pearson|dist_bray","1.0","2.0","","copresence","128->123","2","0.0|0.9999999999999998","","128->123","0.0","0.0","true","","128->123","2.0"
"correl_pearson|dist_bray","1.0","2.0","","copresence","31->161","2","0.0|0.06438827","","31->161","0.0","0.0","true","","31->161","2.0"
"correl_pearson|dist_bray","1.0","2.0","","copresence","31->388","2","0.0|0.03946303","","31->388","0.0","0.0","true","","31->388","2.0"
"correl_pearson|dist_bray","1.0","2.0","","copresence","271->422","2","0.0|0.06735751","","271->422","0.0","0.0","true","","271->422","2.0"
"correl_pearson|dist_bray","2.0","9.0","","copresence","251->160","2","0.9995966270774359|0.01462567","","251->160","0.0","0.0","true","","251->160","2.0"
"correl_pearson|dist_bray","1.0","6.0","","copresence","251->170","2","0.9987624062145383|0.02550982","","251->170","0.0","0.0","true","","251->170","2.0"
"correl_pearson|dist_bray","1.0","6.0","","copresence","251->210","2","0.9890129785806413|0.07487338","","251->210","0.0","0.0","true","","251->210","2.0"
"correl_pearson|dist_bray","2.0","9.0","","copresence","251->222","2","0.9804842288579247|0.0993138","","251->222","0.0","0.0","true","","251->222","2.0"
"correl_pearson|dist_bray","1.0","1.0","","copresence","58->69","2","0.0|0.06830589","","58->69","0.0","0.0","true","","58->69","2.0"
"correl_pearson|dist_bray","1.0","1.0","","copresence","218->413","2","0.0|0.09335724","","218->413","0.0","0.0","true","","218->413","2.0"
"correl_pearson|dist_bray","1.0","2.0","","copresence","233->335","2","0.0|0.09466658","","233->335","0.0","0.0","true","","233->335","2.0"
"correl_pearson|dist_bray","6.0","30.0","","copresence","129->14","2","0.08676465|0.9932464478531032","","129->14","0.0","0.0","false","","129->14","2.0"
"correl_pearson|dist_bray","2.0","18.0","","copresence","150->303","2","0.0|0.08956916","","150->303","0.0","0.0","true","","150->303","2.0"
"correl_pearson|dist_bray","1.0","6.0","","copresence","243->143","2","0.07222628|0.9893163653694822","","243->143","0.0","0.0","true","","243->143","2.0"
"correl_pearson|dist_bray","8.0","43.133333333333326","","copresence","246->315","2","0.0|0.05823278","","246->315","0.0","0.0","false","","246->315","2.0"
"correl_pearson|dist_bray","1.0","2.0","","copresence","367->410","2","0.0|0.05703129","","367->410","0.0","0.0","true","","367->410","2.0"
"correl_pearson|dist_bray","1.0","1.0","","copresence","63->130","2","0.0|0.08666667","","63->130","0.0","0.0","true","","63->130","2.0"
"correl_pearson|dist_bray","8.0","34.0","","copresence","83->129","2","0.0|0.09790132","","83->129","0.0","0.0","false","","83->129","2.0"
"correl_pearson|dist_bray","1.0","5.0","","copresence","210->170","2","0.04936356|0.9951413706483536","","210->170","0.0","0.0","true","","210->170","2.0"
"correl_pearson|dist_bray","2.0","10.0","","copresence","210->222","2","0.0|0.02444042","","210->222","0.0","0.0","true","","210->222","2.0"
"correl_pearson|dist_bray","1.0","1.0","","copresence","94->165","2","0.0|0.08771771","","94->165","0.0","0.0","true","","94->165","2.0"
"correl_pearson|dist_bray","2.0","2.0","","copresence","296->319","2","0.0|0.06164894","","296->319","0.0","0.0","true","","296->319","2.0"
"correl_pearson|dist_bray","1.0","10.0","","copresence","285->146","2","0.05146938|0.9946038879522114","","285->146","0.0","0.0","true","","285->146","2.0"
