abundance,ASV,ASVNumber,AverageShortestPathLength,Betweenness Dir,BetweennessCentrality,Bridging Dir,Centroid Dir,Class,Closeness Dir,ClosenessCentrality,ClusteringCoefficient,degree,Eccentricity,Eccentricity Dir,EdgeCount,EigenVector Dir,Family,Genus,Indegree,IsSingleNode,Kingdom,Label,MCODE::Clusters (1),MCODE::Node Status (1),MCODE::Score (1),name,negdegree,NeighborhoodConnectivity,Order,oriID,Outdegree,PartnerOfMultiEdgedNodePairs,phylum,posdegree,Radiality Dir,samplecount,selected,SelfLoops,shared name,Stress,unknowndegree
425,73f54dd315262f59b0c481e410d19eff,282,1,7.5,0.261695906,0.513029316,-1,Dothideomycetes,1,1,0.211111111,10,1,1,10,2.57E-51,Aureobasidiaceae,Aureobasidium,9,FALSE,Fungi,282,Cluster 2,Clustered,2.555555556,282,0,7.3,Dothideales,282,1,0,Ascomycota,10,0.002159827,2,FALSE,0,282,112,0
504,84c53977e92683af0e4a42b42a9a5509,303,0,0,0,0,0,Sordariomycetes,0,0,0.166666667,9,0,0,9,2.45E-51,Stachybotryaceae,Stachybotryaceae,9,FALSE,Fungi,303,Cluster 6,Clustered,1.821428571,303,0,6.444444444,Hypocreales,303,0,0,Ascomycota,9,0.002155172,2,FALSE,0,303,0,0
307,303e9ab3e4d83037ad04ac4dc6ac3750,198,1.6,3.083333333,0.027046784,0.257557677,-15,Sordariomycetes,11.16666667,0.625,0.208333333,9,3,0.333333333,9,-1.17E-36,Sporocadaceae,Pestalotiopsis,1,FALSE,Fungi,198,,Unclustered,1.6,198,0,7.222222222,Xylariales,198,8,0,Ascomycota,9,0.002208318,2,FALSE,0,198,18,0
625,f51cc6a4848000a2a48e058f095a0beb,418,1.333333333,12.28333333,0.506481481,0.919362024,-6,Tremellomycetes,5,0.75,0.180555556,9,2,0.5,9,-5.50E-50,Bulleribasidiaceae,Hannaella,5,FALSE,Fungi,418,,Unclustered,1.75,418,0,6.666666667,Tremellales,418,4,0,Basidiomycota,9,0.002178649,2,FALSE,0,418,264,0
508,a85e7d7fb3d4861147f307930b46a96d,340,1,5.2,0.200194932,0.658624849,-4,Dothideomycetes,4,1,0.25,8,1,1,8,1.54E-50,Capnodiales,Capnodiales,4,FALSE,Fungi,340,Cluster 2,Clustered,3.047619048,340,0,8.25,Capnodiales,340,4,0,Ascomycota,8,0.002173913,3,FALSE,0,340,128,0
546,e15423765fbc833a19ae998bf3a56a07,395,1.785714286,12.41666667,0.27168616,1.123276852,-14,Sordariomycetes,9.166666667,0.56,0.178571429,8,3,0.333333333,8,1.28E-35,Diaporthaceae,Diaporthe,3,FALSE,Fungi,395,,Unclustered,2,395,0,6.75,Diaporthales,395,5,0,Ascomycota,8,0.002198608,2,FALSE,0,395,122,0
298,2942009a42702561ada4aa01db57f1ff,185,1.444444444,11.6,0.282358674,1.068733548,-9,Dothideomycetes,7,0.692307692,0.196428571,8,2,0.5,8,-1.17E-35,Pleosporaceae,Alternaria,3,FALSE,Fungi,185,,Unclustered,2.142857143,185,0,6.625,Pleosporales,185,5,0,Ascomycota,8,0.002188184,2,FALSE,0,185,143,0
399,4b1bc7c1a9ba858698ad5018094dd64f,237,1.5,1.983333333,0.056578947,0.286516854,-2,Dothideomycetes,1.5,0.666666667,0.238095238,7,2,0.5,7,1.94E-50,Capnodiales,Capnodiales,6,FALSE,Fungi,237,Cluster 2,Seed,3.047619048,237,0,7.714285714,Capnodiales,237,1,0,Ascomycota,7,0.002162162,2,FALSE,0,237,44,0
442,909d5eebd4131699d1148453d74e34d4,315,1.5,6.2,0.110526316,0.566929134,-2,Dothideomycetes,1.5,0.666666667,0.19047619,7,2,0.5,7,-2.41E-50,Pleosporaceae,Curvularia,6,FALSE,Fungi,315,Cluster 2,Clustered,2.7,315,0,6.142857143,Pleosporales,315,1,0,Ascomycota,7,0.002162162,4,FALSE,0,315,45,0
445,a50bd09cd2e15bbff46f704b39310b26,337,2,0,0,0,-16,Dothideomycetes,10.5,0.5,0.214285714,7,4,0.25,7,-7.83E-36,Phaeosphaeriaceae,Neostagonospora,0,FALSE,Fungi,337,,Unclustered,2,337,0,6,Pleosporales,337,7,0,Ascomycota,7,0.002205072,2,FALSE,0,337,0,0
